query,LLM,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Chi era il padre di Micerino ?,gpt,26.555,25.49,47.955,12.620000000000001,12.995000000000001,12.575,11.93,12.254999999999999,12.64,12.885,12.115
Il figlio di Chefren,gpt,31.160000000000004,26.81,42.03,12.395,12.395,12.3,12.325,12.475,12.27,13.105,12.735
Il padre di Micerino,gpt,29.505000000000003,28.95,41.545,12.5,12.905,12.57,11.879999999999999,12.305,12.64,12.98,12.225000000000001
Micerino,gpt,33.949999999999996,35.31,30.74,12.145,12.05,12.415,12.245000000000001,12.725,12.675,12.925,12.82
Quanto e alta la tomba di Cheope?,gpt,31.740000000000002,31.185,37.065,12.2,12.445,12.76,12.004999999999999,12.515,12.440000000000001,12.870000000000001,12.765
Si e scoperto il padre di Micerino?,gpt,30.67,29.87,39.455,12.280000000000001,12.365,12.395,12.085,12.51,12.559999999999999,13.17,12.65
quali sono le regole principali della pallavolo,gpt,31.195,27.215,41.59,12.615,12.495,12.809999999999999,11.75,12.379999999999999,12.32,13.1,12.52
quanti leopardi delle nevi sono rimasti,gpt,22.93,43.795,33.269999999999996,11.96,12.235,12.120000000000001,11.735,12.64,12.16,14.225,12.925
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,gpt,34.93,27.365000000000002,37.705,12.215,12.045,12.645,11.79,12.754999999999999,12.63,12.985,12.934999999999999
Come si costruivano le piramidi Egizie?,gpt,33.489999999999995,24.245,42.265,12.215,12.34,12.51,11.89,12.504999999999999,12.49,13.325,12.725000000000001
Dove si trova la piramide di Cheope?,gpt,28.595,27.119999999999997,44.290000000000006,12.465,12.51,12.225000000000001,12.254999999999999,12.73,12.3,12.575,12.945
FANTASMA DELLE MONTAGNE,gpt,24.6,31.205,44.19,12.100000000000001,12.31,12.684999999999999,12.059999999999999,12.905000000000001,12.405000000000001,12.835,12.7
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,gpt,33.925,34.37,31.7,12.335,12.565000000000001,12.455,11.805,12.815,12.44,12.88,12.7
Quale e la piramide egizia piu` alta ?,gpt,30.535,24.64,44.825,12.29,12.415,12.36,12.315,12.725,12.325,12.54,13.030000000000001
Quanto era alta la tomba del padre di Micerino?,gpt,30.979999999999997,25.43,43.595,12.46,12.775,12.455,12.02,12.350000000000001,12.545,12.915,12.475
quanto ̬ alta la tomba del padre di micerino,gpt,31.615,33.53,34.855000000000004,12.275,12.645,12.59,11.899999999999999,12.34,12.575,13.25,12.42
