QID,Query,Prompt Type,IAS,Resp,Rank,date_generated
qGEN1,tornado,General,Bing,"Tromba d'aria - Wikipedia. Una tromba d'aria o tornado è un fenomeno meteorologico di rotazione e condensazione dell'aria, spesso associato a temporali violenti. Scopri le sue caratteristiche, le sue cause, i suoi effetti e le sue classificazioni.",1,2025_02_12
qGEN1,tornado,General,Bing,"Cos'è un tornado? Come si forma? - Ilmeteo.net. Un tornado è un vortice d'aria intenso e potente, che può causare gravi danni. Scopri le condizioni, la classificazione e gli esempi di questo fenomeno meteo in Italia e nel mondo.",2,2025_02_12
qGEN1,tornado,General,Bing,"Che cosa sono e come nascono i tornado? - Focus.it. Un tornado è un fenomeno meteorologico improvviso e violento che si forma durante forti temporali. Scopri le condizioni atmosferiche necessarie, il caratteristico “imbuto” e le conseguenze di queste tempeste improvvise.",3,2025_02_12
qGEN1,tornado,General,Bing,"Trombe d’aria e tornado: cosa sono, come si sviluppano ... - Ingenio. Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità , che si estendono da una nube temporalesca fino al suolo.",4,2025_02_12
qGEN1,tornado,General,Bing,"Trombe d’aria e tornado: cosa sono, perché nascono e come ... - Geopop. Un fenomeno meteorologico distruttivo, ma affascinante è quello delle trombe d'aria e dei tornado: colonne d’aria di varie dimensioni che, ruotando su se stesse con venti fino a 200-300 km/h, si spostano anche su lunghe distanze, portando devastazione al loro passaggio.",5,2025_02_12
qGEN1,tornado,General,Bing,"Trombe d'aria e tornado: come nascono e perché hanno ... - RaiNews. La differenza è nelle dimensioni: i tornado hanno un diametro di qualche centinaio di metri e percorrono anche diverse decine di chilometri prima di dissolversi; le trombe d'aria, invece, hanno...",6,2025_02_12
qGEN1,tornado,General,Bing,"I tornado - Tornado in Italia. I gradi EF0 ed EF1 corrispondono a tornado di debole intensità, i gradi EF2 ed EF3 a tornado forti, e i gradi EF4 ed EF5 a tornado violenti. Questi ultimi sono una piccolissima percentuale dei tornado che si verificano ogni anno, ma sono quelli che causano il maggior numero di vittime.",7,2025_02_12
qGEN1,tornado,General,Bing,"TORNADO: cosa sono, perchè si formano e come ci si difende. Ma cosa sono questi tornado? Si tratta di sottili vortici di aria che si formano per risucchio ciclonico da parte di una nube temporalesca dalla quale scendono con la classica forma a imbuto. Il termine “sottile” sta ad indicare un fenomeno che in meteorologia viene classificato alla micro-scala.",8,2025_02_12
qGEN1,tornado,General,Bing,"Tornado - Enciclopedia - Treccani. tornado Giorgio Roncali Questo nome, di origine spagnola, designa violente perturbazioni atmosferiche, del tipo delle trombe delle nostre regioni, frequenti nel Messico e ad est delle Montagne Rocciose.",9,2025_02_12
qGEN1,tornado,General,Bing,"Ten Amazing Facts About Tornadoes, Explained | Smithsonian. Science | April 26, 2024. Ten Amazing Facts About Tornadoes, Explained. To prepare you for the movie “Twisters,” we’ve compiled some jaw-dropping details about the powerful phenomenon",10,2025_02_12
qGEN2,tornado ,General,Bing,"Tromba d'aria - Wikipedia. Tra le trombe d'aria più distruttive in assoluto troviamo il tragicamente famoso Tri-State Tornado (il Tornado dei tre Stati) che si abbatté nel 1925 a Ellington e proseguì la sua corsa distruttiva fino a Princeton, Indiana attraversando tutto l'Illinois.",1,2025_02_12
qGEN2,tornado ,General,Bing,"Tornadoes 101 | National Geographic - YouTube. Tornadoes are some of the most destructive forces of nature. Learn how tornadoes form, how they are rated, and the country where the most intense tornadoes o...",2,2025_02_12
qGEN2,tornado ,General,Bing,"Cos'è un tornado? Come si forma? - Ilmeteo.net. Un tornado è un fenomeno meteo caratterizzato dalla presenza di un vortice d’aria, molto intenso e potente, ma di limitata estensione, nell’ordine delle decine o centinaia di metri. Questa perturbazione è in grado di causare enormi danni, ed ha un potenziale distruttivo molto alto.",3,2025_02_12
qGEN2,tornado ,General,Bing,"Che cosa sono e come nascono i tornado? - Focus.it. Un tornado è un fenomeno meteorologico improvviso e violento: dove passa rade al suolo edifici di uno-due piani, sradica alberi secolari, solleva automobili. Nell’epicentro del tornado il vento raggiunge i 600 chilometri l’ora e l’aria ha una pressione bassissima, inferiore ai 900 millibar.",4,2025_02_12
qGEN2,tornado ,General,Bing,"I tornado saranno sempre più frequenti in Italia: ecco perché. VIDEO. Il tornado è il fenomeno più intenso che può colpire l’area mediterranea, se giunge a toccare la superficie (altrimenti si chiama “funnel cloud”).",5,2025_02_12
qGEN2,tornado ,General,Bing,"Perché la relazione tra tornado e cambiamento climatico non è ancora .... Nel corso del tempo non è stato osservato un aumento della frequenza con cui si verificano i tornado più gravi. Ma data l’influenza pervasiva del riscaldamento globale sull’atmosfera, è inevitabile che il cambiamento climatico abbia un impatto anche sui tornado.",6,2025_02_12
qGEN2,tornado ,General,Bing,Le immagini impressionanti dell'arrivo del tornado - RaiNews. Le immagini dell'arrivo del tornado che colpì la pianura Ravennate il 22 luglio 2023.,7,2025_02_12
qGEN2,tornado ,General,Bing,"Trombe d’aria e tornado: cosa sono, come si sviluppano ... - Ingenio. Le trombe d’aria, note anche come tornado, sono tra i fenomeni atmosferici più violenti e spettacolari esistenti in natura. Si manifestano come vortici d’aria rotanti ad altissima velocità , che si estendono da una nube temporalesca fino al suolo.",8,2025_02_12
qGEN2,tornado ,General,Bing,"Trombe d'aria e tornado: come nascono e perché hanno ... - RaiNews. La differenza è nelle dimensioni: i tornado hanno un diametro di qualche centinaio di metri e percorrono anche diverse decine di chilometri prima di dissolversi; le trombe d'aria, invece, hanno...",9,2025_02_12
qGEN2,tornado ,General,Bing,"Tornado: domande comuni e risposte della scienza - Focus.it. Che cosa sono e come nascono i tornado? Un tornado è un fenomeno meteorologico improvviso e violento: dove passa rade al suolo edifici di uno-due piani, sradica alberi secolari, solleva automobili. Nell’epicentro del tornado il vento raggiunge i 600 chilometri l’ora e l’aria ha una pressione bassissima, inferiore ai 900 millibar.",10,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Piramidi egizie - Wikipedia. L'elenco riporta le principali piramidi in Egitto. In colore giallo scuro le piramidi attribuite a faraoni, in giallo chiaro le piramidi secondarie e in azzurro le altre strutture architettoniche (mastabe, templi solari) identificate in passato come piramidi.",1,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Piramidi egizie: le tombe dei faraoni - Storia - Studia Rapido. Le piramidi egizie erano le grandiosi tombe dei faraoni. All’inizio si trattava di costruzioni larghe e piatte, chiamate mastabe. In seguito diventarono edifici più alti e fatti a gradoni. Infine assunsero la forma a punta che oggi conosciamo.",2,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Le 5 piramidi più famose dell'Antico Egitto - FocusJunior.it. IL LUOGO PIÙ RICCO DI PIRAMIDI. Giza è il luogo che ospita il gruppo di piramidi più famose e meglio conservate dell’Antico Egitto. La piramide di Cheope (o Khufu, il nome del faraone nella lingua locale) è l’unica ancora visibile delle sette meraviglie del mondo antico.",3,2025_02_12
qGEN3,piramide egizia ,General,Bing,"“Egizi e piramidi: costruzione, funzione e misteri di un’iconica .... Le piramidi sono antichi monumenti costruiti dagli Egizi durante il loro periodo storico più glorioso, il Nuovo Regno. Queste imponenti strutture erano generalmente costruite per i faraoni, e si pensava che fossero utilizzate come tombe per la loro sepoltura.",4,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Piramidi di Giza: storia, architettura e curiosità. Le Piramidi di Giza, situate sulla piana di Giza vicino al Cairo, in Egitto, sono tra i monumenti antichi più iconici e misteriosi del mondo. Questo complesso archeologico è composto principalmente da tre piramidi principali: la Grande Piramide di Khufu (o Cheope), la Piramide di Khafre (o Chefren) e la Piramide di Menkaure (o Micerino ...",5,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu ...",6,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Dove Sono le Piramidi in Egitto? Scopri le loro Posizioni. Le piramidi d'Egitto affascinano l'umanità da millenni, suscitando meraviglia e curiosità. Questi monumenti straordinari, costruiti come tombe per i faraoni, si ergono maestosi nel deserto egiziano.",7,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Piramidi e Grande Sfinge di Giza > Storia, Orari e Prezzi, Biglietti. La Necropoli di Giza comprende le tre piramidi principali, la famosa Grande Sfinge e una serie di piramidi minori e templi funerari per nobili e funzionari – tra i quali segnaliamo la Tomba della Regina Meresankh III – che testimoniano la grandiosità e la complessità della civiltà egizia.",8,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Perché le Piramidi di Giza sono uno dei più ... - National Geographic. Le tre celebri piramidi di Giza e i loro elaborati complessi sepolcrali furono eretti dal 2550 al 2490 a.C., epoca particolarmente prolifica di grandi opere architettoniche. Le piramidi furono costruite dai Faraoni Khufu (quella più alta), Khafre (quella posteriore) e Menkaure (quella anteriore).",9,2025_02_12
qGEN3,piramide egizia ,General,Bing,"Storia: piramide egizie e piana di Giza - Pyramid of Giza. Situate nella Necropoli di Giza, le Piramidi di Giza sono un complesso di enormi tombe costruite oltre 4500 anni fa dagli antichi egizi. Questi monumenti funerari furono costruiti per i faraoni Cheope, Chefren e Micerino.",10,2025_02_12
