QID,Query,Prompt Type,Task Sentiment
qGEN1,tornado,General,
qGEN2,tornado ,General,
qGEN3,piramide egizia ,General,
qGEN4,piramidi ,General,
qGEN5,qual Ã¨ la piramide egizia piÃ¹ alta,General,
qGEN6,velocita tornado ,General,
qGEN7,dove si trova la piramide di Cheope?,General,
qGEN8,tornado velocita ,General,
qGEN9,vulcano attivo antico ,General,
qGEN10,tornado veloce,General,
qGEN11,vulcano attivo antico,General,
qGEN12,come si chiama Monica,General,
qGEN13,tornado mostro nero ,General,
qGEN14,tornado velocita mostro nero ,General,
qGEN15,animali a rischio di estinzione,General,
qGEN16,come si formano i vulcani?,General,
qGEN17,come si trovano i vulcani?,General,
qGEN18,come viene classificato il leopardo delle nevi?,General,
qGEN19,cosa possiamo fare per aiutare le specie in estinzione?,General,
qGEN20,in quale stato si trova il vulcano piÃ¹ piccolo ?,General,
qGEN21,in quale stato si trova il vulcano piÃ¹ piccolo del mondo?,General,
qGEN22,in quale stato si trova il vulcano piÃ¹ piccolo?,General,
qGEN23,qual Ã¨ il vulcano  attivo piÃ¹ antico,General,
qGEN24,qual Ã¨ il vulcano  attivo piÃ¹ antico ?,General,
qGEN25,quanti sono gli esemplari rimasti di fantasma delle montagne ?,General,
qGEN26, quali sono gli altri nomi del tornado,General,
qGEN27, velocitÃ  massima di un tornado,General,
qGEN28,creazione di un tornado,General,
qGEN29,effetti del tornado,General,
qGEN30,nascita di un tornado,General,
qGEN31,sinonimi di tornado,General,
qGEN32,sviluppo di un tornado,General,
qGEN33,sviluppo di un tornado e i suoi effetti,General,
qGEN34,la piramide egizia piÃ¹ alta,General,
qGEN35,mostro nero (uragano),General,
qGEN36,sviluppo del tornado,General,
qGEN37,3 animali in estinzione,General,
qGEN38,classificazione del leopardo delle nevi,General,
qGEN39,come possiamo aiutare le specie in estinzione,General,
qGEN40,quanti sono gli esemplari rimasti del fantasma delle montagne,General,
qGEN41,come viene classificato il leopardo delle nevi,General,
qGEN42,cosa possiamo fare per aiutare le specie in estinzione,General,
qGEN43,cosa possiamo fare per aiutare le specie in estinzione?quali sono i rischi e come sia possibile aiutare la specie in via di estinzioni,General,
qGEN44,fantasmi delle montagne,General,
qGEN45,trova tre animali a rischio di estinzione,General,
qGEN46,classificazione leopardo delle nevi,General,
qGEN47,come aiutare le specie in estinzione,General,
qGEN48,come aiutarele specie in estinzione,General,
qGEN49,esemplari rimasti del fantasma delle nevi,General,
qGEN50,esemplari rimasti di fantasma delle montagne,General,
qGEN51,pericoli per le specie animali,General,
qGEN52,fantasma delle montagne specie rimaste,General,
qGEN53,fantasma delle montagne wwf,General,
qGEN54,leopardo delle nevi,General,
qGEN55,tre  animali a rischio estinzione,General,
qGEN56,qual Ã¨ il vulcano attivo piÃ¹ antico del mondo?,General,
qGEN57,tipo di eruzione piÃ¹ dannoso  ,General,
qGEN58,in quale stato si trova il vulcano piÃ¹ piccolo ,General,
qGEN59,qual Ã¨ il vulcano piÃ¹ attivo piÃ¹ antico ,General,
qGEN60,quale tipologia di eruzione provoca piÃ¹ danni,General,
qGEN61,vulcani tipologia di eruzioni danni,General,
qGEN62,dove si trova il Vulcano Piu  piccolo ,General,
qGEN63,vulcano piÃ¹ antico attivo,General,
qGEN64,come si formano i vulcani,General,
qGEN65,un bambino sano quanto pasti fa al giorno,General,
qGEN66,quali sono i punti cardinali,General,
qGEN67,quali sono le cose piÃ¹ importanti della moto,General,
qGEN68,quando inizia il periodo paleolitico e neolitico,General,
qGEN69,zigurat,General,
qGEN70,trova 3 animali a rischio di estinzione,General,
qGEN71,quali sono i punti cardinali?,General,
qGEN72,quali sono gli animali in estinzione?,General,
qGEN73,dove si trova la piramide di cheope,General,
qGEN74,immagine piramide egizia,General,
qGEN75,gli animali in estinzione,General,
qGEN76,i vulcani,General,
qGEN77,i vulcani piÃ¹ grandi del mondo,General,
qGEN78,la piramide piÃ¹ alta,General,
qGEN79,punti cardinali,General,
qGEN80,qual e il vulcano piÃ¹ grande,General,
qGEN81,qual Ã¨ la piramide egizia piÃ¹ alta?,General,
qGEN82,come scaricare musica da youtube,General,
qGEN83,chi e il padre di micerino,General,
qGEN84,come venivano costruite le piramidi egizie,General,
qGEN85,qual e la piramide egizia piu alta,General,
qGEN86,quanto e alta la tomba del padre di micerino,General,
qGEN87,quanto e alta la tomba di cheope,General,
qGEN88, quali sono le regole principali della pallavolo,General,
qGEN89,la regione con piu` squadre di pallavolo,General,
qGEN90,qual e la piramide egizia piu` alta?,General,
qGEN91,quanti giocatri ci sono in ogni squadra di ginnastica,General,
qGEN92,quanti giocatri ci sono in ogni squadra di pallavolo,General,
qGEN93,regioni italÃ©8iane  con piu` squadre di pallavolo,General,
qGEN94, quanti leopardi delle nevi sono rimasti,General,
qGEN95,cosa possiamo fare per salvare gli animali in estinzione,General,
qGEN96,cosa sono fantasma delle montagne,General,
qGEN97,classificazione del Leopardo delle nevi,General,
qGEN98,classificazione del panthera uncia,General,
qGEN99,classificazione del panthera uncia in italiano,General,
qGEN100,come possiamo aiutare le specie in pericolo,General,
qGEN101,come si puo aiutare le specie in pericolo,General,
qGEN102,fantasma della montagna,General,
qGEN103,tre animali in via di estinzione,General,
qGEN104,classificazione delleopardo delle nevi,General,
qGEN105,cosa fa l IUCN per aiutare gli animali in via di estinzione,General,
qGEN106,tre animali a rischio estinzione,General,
qGEN107,wwf in via di estinzione,General,
qGEN108,FANTASMA DELLE MONTAGNE ,General,
qGEN109,quanti esemplari di leopardo delle nevi sono rimasti,General,
qGEN110,quanti specie di FANTASMA DELLE MONTAGNE sono rimasti,General,
qGEN111,qual e la regione con piÃ¹ squadre di calcio d italia,General,
qGEN112,che velocitÃ  viaggia un tornado,General,
qGEN113,cosa e il tornado mostro nero,General,
qGEN114,padre di Micerino,General,
qGEN115,quanto Ã¨ alta la tomba di Chefren,General,
