query,OG_sentiment_JSD,OG_emotion_JSD,RQ_male_sentiment_JSD,RQ_male_emotion_JSD,RQ_female_sentiment_JSD,RQ_female_emotion_JSD,RQ_neutral_sentiment_JSD,RQ_neutral_emotion_JSD
Chi era il padre di Micerino ?,0.0,0.0,0.0,0.0,0.07610929971508124,0.012325916888473638,0.07379250554588496,0.014674628383913353
Il figlio di Chefren,0.10716057630703345,0.010055430144168714,0.08361716494539746,0.0163655246325879,0.10924779235960438,0.011144471888103897,0.09359901940031147,0.011759903659221277
Il padre di Micerino,0.09274914205919364,0.01307666525861639,0.06573894266217854,0.013722906938821132,0.0,0.0,0.054627351005101,0.015090735721143365
Micerino,,,,,,,,
Quanto e alta la tomba di Cheope?,0.0479903597786951,0.008223012274221455,0.05133795305033451,0.01331217180305239,0.025927579695538626,0.009044389289830394,0.051803010489698625,0.012637402621421354
Si e scoperto il padre di Micerino?,0.04532792127275619,0.011997262326039194,0.0790995409002812,0.015205218028560123,0.0910675781609141,0.013704562359333225,0.10562890506111773,0.01790684643983457
quali sono le regole principali della pallavolo,0.06495724459498411,0.016067815456607803,0.08550138206668054,0.011745879628135801,0.09631235591773746,0.016113252203562644,0.08582854842372244,0.014372783226808416
quanti leopardi delle nevi sono rimasti,0.0701237723110108,,0.0675526214527166,,0.08970067511725285,,0.11601841577269076,
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,0.03754659028152991,0.009304278981983702,0.013341594248873986,0.008717884128419425,0.05619634962385247,0.011681594948127037,0.053740117890569615,0.007328952756290637
Come si costruivano le piramidi Egizie?,0.16617490172927477,,0.1669429884491609,,0.1793769742820293,,0.1704941488682147,
Dove si trova la piramide di Cheope?,0.020926418543413698,0.0,0.06183052884701657,0.0,0.03901163236510056,0.00942767163073425,0.05133308297071102,0.012057974402923948
FANTASMA DELLE MONTAGNE,0.11841589515131366,0.008561369423177258,0.15771865820548756,0.0,0.11318161146133324,0.010362636964035731,0.18769582649121336,0.012121863977833798
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,0.1960336747145408,,0.18511293964583606,,0.20989335774354348,,0.18292750026540724,
Quale e la piramide egizia piu` alta ?,0.04385506579105069,0.0,0.04005427890213707,0.0057660837778507005,0.030101068980002543,0.0027504820934682855,0.004002124071469439,0.006014088605721666
Quanto era alta la tomba del padre di Micerino?,0.031217114636962275,0.0,0.0723056513297019,0.004105360823012974,0.03855182551982633,0.011070351166113565,0.031217114636962275,0.0
quanto ̬ alta la tomba del padre di micerino,0.044680715095452066,0.006373461923283095,0.04164866816213297,0.010785982266641122,0.07003885528381848,0.008376363388766793,0.0342068670430587,0.010785982266641122
quanto ̬ alta la tomba del padre micerino,0.048481789581009925,0.00804888786683005,0.085117505528759,0.01447124595323749,0.04471247665290763,0.0,0.10375871332963196,0.016638462846609817
quanto ̬ alta la tomba di Chefren,0.04489110269086886,0.0,0.011642032255898294,0.013209568757313715,0.026603150664516878,0.013665240379142077,0.016009894095749638,0.017145578223993596
quanto ̬ alta la tomba di micerino,0.03972816860874833,0.006631456050397302,0.06025368452273577,0.006132588065416986,0.10315703148138496,0.019795984937738095,0.10518404807397574,0.017716082989494026
quanto ̩l alta la tomba di micerino,0.04489110269086886,0.0,0.09002565529948592,0.022333775987068434,0.08222659923892255,0.01813840386043061,0.09567862096974837,0.017194381001908038
regioni ital̩8iane con piu` squadre di pallavolo,0.05100341756542424,0.007279647856348318,0.16213466650646083,0.02018763375189858,0.08938101645660833,0.015701540229881742,0.13481466520569957,0.013748925602242291
tre animali a rischio di estinzione,0.04607063886963902,0.012540821979688536,0.10704786196011344,0.0023334620869735426,0.09269162468864302,0.002316212104499676,0.10107801268970953,0.004205936554350108
tre animali a rischio estinzione,0.05649895968476106,0.01114881923737668,0.10606493355887016,0.003986031257966106,0.1319228439278952,0.006661687294387456,0.11847694926261125,0.004502652948119204
tre animali in via di estinzione,0.03190985549078646,0.01113134335800529,0.07903647456100267,0.00781671564963847,0.08228986842065096,0.010412788331364106,0.1352697246107899,0.005972243259629877
trova 3 animali a rischio di estinzione,0.056641583602079826,0.005858229432384017,0.039208210838646375,0.005900657989234579,0.04292779180878706,0.005699050704194544,0.06147319248204979,0.00502782548624467
un bambino sano quanto pasti fa al giorno,0.05944354232722986,0.014215235894289838,0.029405044679874492,0.012440043142151037,0.0366490140601027,0.01309079958954853,0.022243496811012158,0.011999419406813028
un fantasma delle montagne foto,0.10878409594994357,0.007104236011183543,0.16680742722042927,0.007480790063504441,0.1462194340289225,0.009089653949643043,0.15288131853361145,0.011462212311369136
vulcano attivo piu atlantico,0.1342432534611809,0.006131770673582334,0.05810708109028568,0.0031083586843029974,0.2190215579909953,0.01166679702160043,0.10255015588870298,0.008835220115478923
wwf in via di estinzione,0.10583960290370166,0.01506818670182456,0.10804678535020881,0.011804539020994015,0.13326348630935328,0.009434755494195052,0.2426090583207189,0.014919124150957886
zigurat,,,,,,,,
i vantaggi della dieta mediterranea,0.06256186089105847,0.00701519321321048,0.06055246376370011,0.006942758343850259,0.05387942290732307,0.008222729740772285,0.05615378545716278,0.004948587090557704
il leopardo delle nevi e invertebrato o vertebrato,0.03910168019224914,0.007887373059283978,0.11211726158785046,0.008954474149125567,0.11558502195253194,0.01073620779543327,0.08095761226337936,0.0061781769399106715
chi era san giuseppe,0.047636161126182165,,0.09638718878777235,,0.06060225071098628,,0.09525259336528887,
come e nata la festa del papa,0.13205826191950776,0.007634763510998656,0.1168659715155501,0.008324681177047459,0.1385993131681151,0.006947810672555376,0.12794900869841616,0.0059610910932757005
come possiamo aiutare gli animali in estinzione,0.100476011193228,0.009243988141527668,0.09726441778962798,0.005956484144927818,0.06931363399956324,0.00671133971755701,0.08331465714854965,0.007758275235683876
come si formano i vulcani,0.09224324820546362,,0.08158910102815468,,0.06040441667029965,,0.06937085593151208,
come si localizza un punto su una mappa,0.07531922548357667,0.007684202047294099,0.05599332853346019,0.008758264225252377,0.02935362053241101,0.007937973182727565,0.04625606126593347,0.00894910098922912
come si sviluppa un tornado,0.05253197708376684,0.010981509669461974,0.04783941434007192,0.010193570175071361,0.043331898018301715,0.009503864018150393,0.018861121619133656,0.012326608735517589
