Query,Prompt Type,IAS,Resp,Rank,date_generated
Chi era il padre di Micerino ?,General,Bing,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",1,2025_01_29
Chi era il padre di Micerino ?,General,Bing,"LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. Dalla sposa Khamerer-Nebty II nacque Khuenra il quale però non successe al padre pur essendone l’erede più anziano, l’onore spettò al principe Shepseskaf, un figlio minore del faraone.",2,2025_01_29
Chi era il padre di Micerino ?,General,Bing,"Chi erano Chefren e Micerino? - in3giorni.com. Nel 1908 George Reisner ritrovò otto triadi che rappresentavano il faraone Micerino, la dea Hathor e varie province dell'Egitto. Richiesta di rimozione della fonte isualizza la risposta completa su storicang.it",3,2025_01_29
Chi era il padre di Micerino ?,General,Bing,"La piramide di Micerino: l’ultima delle tre piramidi - Viaggio in Egitto. Il primo a penetrare all’interno della piramide di Micerino fu il sultano Uthman Ibn Yusuf, figlio del Saladino, che aprì con le sue truppe la breccia ancora oggi visibile alla base della piramide, nel 1196. Il sultano sognava di trovare il famoso e ricchissimo tesoro del faraone Micerino.",4,2025_01_29
Chi era il padre di Micerino ?,General,Bing,"La Piramide di Micerino | L'ultima piramide di Giza - Pyramid of Giza. Il complesso piramidale di Micerino, completato intorno al 2510 a.C., fu l'ultimo costruito sull'Altopiano di Giza. Si tratta della tomba del faraone egiziano Micerino, appartenente alla IV dinastia, che successe al trono di suo padre Chefren.",5,2025_01_29
Il figlio di Chefren,General,Bing,"Chefren - Wikipedia. Chefren (dal greco antico: Χεφρήν, Chephrèn; originariamente Khafra e Hor Userib) [5] (... – 2532 a.C.) è stato un faraone della IV dinastia egizia. È probabile che Chefren fosse figlio di Cheope e fratellastro quindi di Kheper.",1,2025_01_29
Il figlio di Chefren,General,Bing,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",2,2025_01_29
Il figlio di Chefren,General,Bing,"Scopri la Piramide di Chefren: Un Tesoro dell'Antico Egitto. Chefren, noto anche come Khafra, era un faraone della Quarta Dinastia egizia, vissuto intorno al 2600-2480 a.C. Era il figlio di Cheope e padre di Micerino. Durante il suo regno, costruì una delle piramidi a Giza e si ritiene sia stato il committente della Grande Sfinge.",3,2025_01_29
Il figlio di Chefren,General,Bing,"Chefren - Italiawiki.com. Chefren è il figlio di Chufu (Cheope), che ha costruito la più grande delle tre piramidi di Giza. Il figlio di Khafre, Menkaura (Mykerinos), ha costruito la terza delle tre piramidi. Lavori di costruzione",4,2025_01_29
Il figlio di Chefren,General,Bing,"Faraone Chefren in trono, Museo Egizio del Cairo. Il faraone Chefren, figlio di Cheope e padre di Micerino, regnò durante la IV dinastia egizia. La statua del faraone Chefren seduto in trono si trova al Museo egizio del Cairo. Fu realizzata con la diorite, una pietra molto dura, secondo la tecnica della «scultura a togliere»; è alta 168 cm.",5,2025_01_29
Il padre di Micerino,General,Bing,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",1,2025_01_29
Il padre di Micerino,General,Bing,"LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. Come già accennato nella prima parte, forse Micerino non visse sufficientemente a lungo per vedere completata la sua piramide lasciando il compito di completarla, apparentemente in fretta, al suo successore, il figlio Shepseskaf, la deduzione è stata tratta dall’esame del materiale usato in alcune parti del complesso che consiste di mattoni ...",2,2025_01_29
Il padre di Micerino,General,Bing,Chi erano Chefren e Micerino? - in3giorni.com. Nome di un faraone della 4 a dinastia (circa 2600-2480 a. C.); figlio di Cheope e padre di Micerino; costruì una piramide a Giza. Al suo tempo risale la grande sfinge della necropoli menfitica.,3,2025_01_29
Il padre di Micerino,General,Bing,"La piramide di Micerino: l’ultima delle tre piramidi - Viaggio in Egitto. Il primo a penetrare all’interno della piramide di Micerino fu il sultano Uthman Ibn Yusuf, figlio del Saladino, che aprì con le sue truppe la breccia ancora oggi visibile alla base della piramide, nel 1196.",4,2025_01_29
Il padre di Micerino,General,Bing,"Piramide di Micerino, Guida alla Visita - Egitto 2025 | Arché Travel. La Piramide di Micerino si trova all’interno della Necropoli di Giza, a 25 km dalla capitale Il Cairo, in Egitto. Questa monumentale scultura funeraria è collocata nella parte sud della piana, accanto alla Piramide di Chefren che, secondo gli storici, era suo padre.",5,2025_01_29
Micerino,General,Bing,"Micerino - Wikipedia. Micerino, noto anche come Menkaura o Menkheres, fu il successore di Chefren e il padre di Shepseskaf. La sua piramide a Giza e le sue statue lo rappresentano con le divinità Hathor e Anput.",1,2025_01_29
Micerino,General,Bing,"Piramide di Micerino - Wikipedia. La Piramide di Micerino o Menkaura, eretta nell'ultima area libera dell’altopiano roccioso di Giza, era il cenotafio del sovrano denominato Neter Menkaura ossia «Divino [è] Micerino».",2,2025_01_29
Micerino,General,Bing,"Micerino su Enciclopedia - Sapere.it. Micerino fu il figlio e successore di Chefren e regnò intorno al 2560 a. C. Costruì la terza piramide di El Gîza, ma non la completò. Scopri le sue statue e il suo quiz.",3,2025_01_29
Micerino,General,Bing,"Micerino e la moglie Khamerer-Nebti - Wikipedia. Micerino e la moglie Khamerer-Nebti è un gruppo scultoreo di autore ignoto, realizzato nel 2520 a.C. circa e conservato presso il Museum of Fine Arts di Boston.",4,2025_01_29
Micerino,General,Bing,"LE TRIADI DI MICERINO - LA CIVILTA' EGIZIA. Scopri le sculture di corte del re Micerino, che lo rappresentano con la dea Hathor e altre figure femminili simbolo dei distretti egiziani. Leggi le caratteristiche, le dimensioni e le iscrizioni di questi gruppi statuari in scisto grigio-verde.",5,2025_01_29
Quanto e alta la tomba di Cheope?,General,Bing,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu edificata ...",1,2025_01_29
Quanto e alta la tomba di Cheope?,General,Bing,"Quanto era alta la piramide più grande quando fu costruita?. Quando fu costruita, la piramide di Cheope era alta circa 146,6 metri (280 cubiti egiziani) ed era pertanto la costruzione più alta realizzata fino ad allora. ... La base della piramide copre oltre 5 ettari di superficie, formando un quadrato di circa 230,34 metri per lato.",2,2025_01_29
Quanto e alta la tomba di Cheope?,General,Bing,"La Piramide di Khufu | La Grande Piramide di Giza - Pyramid of Giza. La Grande Piramide di Giza fu la prima ad essere costruita sull'altopiano di Giza e fu la tomba per l'antico faraone egiziano Cheope per un periodo di circa 27 anni. Si ritiene che l’architetto fosse Hemiunu, cugino e visir di Cheope.",3,2025_01_29
Quanto e alta la tomba di Cheope?,General,Bing,"Le misure della Piramide di Cheope - Dino Molli. Tra gli specialisti in archeologia egizia, è opinione comune che fu costruita come tomba per il faraone della IV Dinastia (2575 - 2467 a.C.) Khufu (conosciuto come Cheope).",4,2025_01_29
Quanto e alta la tomba di Cheope?,General,Bing,"Piramide di Cheope, storia, struttura, altezza e leggende. Gli egittologi ritengono che la piramide sia stata costruita come tomba per il faraone Khufu (Cheope in Greco), IV dinastia, per un periodo dai 10 ai 20 anni, concludendosi attorno al 2560 a.C. Secondo alcuni fu realizzata dall’architetto reale Hemiunu.",5,2025_01_29
Si e scoperto il padre di Micerino?,General,Bing,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",1,2025_01_29
Si e scoperto il padre di Micerino?,General,Bing,LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. Gli egittologi sono invece del parere che le evidenze archeologiche confermerebbero che Menkhaura sia stato l’immediato successore del padre Chefren. Di lui fanno bella mostra le meravigliose statue che lo raffigurano affiancato da divinità o dalle consorti Khamerer-Nebty II e Rakhetra.,2,2025_01_29
Si e scoperto il padre di Micerino?,General,Bing,"Piramide di Micerino - Wikipedia. Rivestimento esterno in granito. Costruita circa 450 metri a sud-ovest rispetto alla piramide di Chefren, dimostra la fretta del costruttore, che la edificò in più riprese, materiali vari e varie tecniche.Ed è stata costruita nel 2510 a.c. circa Il suo volume non supera i 250.000 m³ ossia un decimo di quella di Cheope presentando la particolarità dei blocchi molto più grandi anche di ...",3,2025_01_29
