query,source,query_len_type,query_len,search_type,query_sentiment_type,topic,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Chi era il padre di Micerino ?,IT-GUI,short,6,multisteps,neutral,history,25.31,30.15,44.54,12.53,13.28,12.68,11.66,12.12,12.82,13.11,11.81
Il figlio di Chefren,IT-GUI,short,4,multisteps,neutral,history,26.92,32.38,40.7,12.59,13.23,12.38,12.15,12.43,12.67,12.55,12.0
Il padre di Micerino,IT-GUI,short,4,multisteps,neutral,history,25.31,30.15,44.54,12.53,13.28,12.68,11.66,12.12,12.82,13.11,11.81
Micerino,IT-GUI,short,1,multisteps,positive,history,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quanto e alta la tomba di Cheope?,IT-GUI,long,7,fact,neutral,history,28.06,31.37,40.57,12.56,12.96,12.69,12.17,12.34,12.77,12.19,12.32
Si e scoperto il padre di Micerino?,IT-GUI,long,7,multisteps,neutral,history,25.03,23.79,51.18,12.53,13.28,12.68,11.66,12.12,12.82,13.11,11.81
quali sono le regole principali della pallavolo,IT-GUI,long,7,opensearch,neutral,sports,20.67,27.45,51.87,13.25,12.28,13.12,12.23,12.21,12.18,12.03,12.71
quanti leopardi delle nevi sono rimasti,IT-GUI,short,6,multisteps,negative,endangered animals,18.6,47.35,34.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,IT-GUI,long,8,fact,neutral,tornado,31.71,25.85,42.45,12.44,12.42,12.36,12.15,13.05,12.17,12.62,12.78
Come si costruivano le piramidi Egizie?,IT-GUI,short,6,opensearch,neutral,history,19.45,14.04,66.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dove si trova la piramide di Cheope?,IT-GUI,long,7,fact,neutral,history,32.5,30.06,37.44,12.27,12.58,12.47,12.32,12.68,12.01,12.58,13.1
FANTASMA DELLE MONTAGNE,IT-GUI,short,3,multisteps,neutral,endangered animals,20.9,17.76,61.33,11.81,12.3,12.83,11.94,13.09,12.3,12.72,13.0
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,IT-GUI,long,8,fact,neutral,tornado,30.79,13.9,55.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quale e la piramide egizia piu` alta ?,IT-GUI,long,7,fact,neutral,history,27.07,23.44,49.49,12.27,12.58,12.47,12.32,12.68,12.01,12.58,13.1
Quanto era alta la tomba del padre di Micerino?,IT-GUI,long,9,fact,neutral,history,27.14,30.97,41.89,12.54,13.12,12.68,11.92,12.23,12.79,12.65,12.06
quanto ̬ alta la tomba del padre di micerino,IT-GUI,long,9,multisteps,neutral,history,27.14,30.97,41.89,12.54,13.12,12.68,11.92,12.23,12.79,12.65,12.06
quanto ̬ alta la tomba del padre micerino,IT-GUI,long,8,multisteps,neutral,history,27.14,30.97,41.89,12.54,13.12,12.68,11.92,12.23,12.79,12.65,12.06
quanto ̬ alta la tomba di Chefren,IT-GUI,long,7,multisteps,neutral,history,28.06,31.37,40.57,12.56,12.96,12.69,12.17,12.34,12.77,12.19,12.32
quanto ̬ alta la tomba di micerino,IT-GUI,long,7,multisteps,neutral,history,28.06,31.37,40.57,12.56,12.96,12.69,12.17,12.34,12.77,12.19,12.32
quanto ̩l alta la tomba di micerino,IT-GUI,long,7,multisteps,neutral,history,28.06,31.37,40.57,12.56,12.96,12.69,12.17,12.34,12.77,12.19,12.32
regioni ital̩8iane con piu` squadre di pallavolo,IT-GUI,long,7,multisteps,neutral,sports,19.69,22.24,58.06,13.25,12.28,13.12,12.23,12.21,12.18,12.03,12.71
tre animali a rischio di estinzione,IT-GUI,short,6,fact,neutral,endangered animals,21.37,21.06,57.57,12.31,12.44,12.13,12.29,13.19,12.45,12.7,12.48
tre animali a rischio estinzione,IT-GUI,short,5,fact,neutral,endangered animals,21.37,21.06,57.57,12.31,12.44,12.13,12.29,13.19,12.45,12.7,12.48
tre animali in via di estinzione,IT-GUI,short,6,fact,neutral,endangered animals,21.12,19.53,59.35,12.59,12.53,12.02,12.9,12.77,12.73,12.14,12.31
trova 3 animali a rischio di estinzione,IT-GUI,long,7,fact,neutral,endangered animals,26.43,25.9,47.67,12.31,12.44,12.13,12.29,13.19,12.45,12.7,12.48
un bambino sano quanto pasti fa al giorno,IT-GUI,long,8,fact,neutral,sports,34.47,27.39,38.14,12.73,12.7,12.05,12.34,12.71,12.87,13.05,11.56
un fantasma delle montagne foto,IT-GUI,short,5,fact,neutral,endangered animals,17.47,26.29,56.24,11.81,12.3,12.83,11.94,13.09,12.3,12.72,13.0
vulcano attivo piu atlantico,IT-GUI,short,4,fact,neutral,volcanos,33.06,17.9,49.04,12.36,12.21,12.43,12.35,12.85,12.53,12.45,12.83
wwf in via di estinzione,IT-GUI,short,5,fact,neutral,endangered animals,23.68,15.02,61.3,12.53,12.29,12.07,12.69,12.95,12.25,12.42,12.8
zigurat,IT-GUI,short,1,unknown,positive,history,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i vantaggi della dieta mediterranea,IT-Wizard,short,5,opensearch,neutral,sports,30.61,18.46,50.93,12.41,13.02,12.41,11.85,12.46,12.42,13.08,12.36
il leopardo delle nevi e invertebrato o vertebrato,IT-Wizard,long,8,fact,neutral,endangered animals,17.27,39.51,43.22,12.78,12.43,12.45,12.31,12.95,12.31,11.93,12.85
chi era san giuseppe,IT-Wizard,short,4,fact,neutral,father day,26.77,15.72,57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
