query,LLM,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Chi era il padre di Micerino ?,gemma,34.96,27.85,37.195,11.934999999999999,12.715,12.76,11.49,12.225,12.114999999999998,13.9,12.865
Il figlio di Chefren,gemma,34.28,25.625,40.084999999999994,11.84,12.82,12.67,11.58,12.43,12.08,13.835,12.74
Il padre di Micerino,gemma,29.455,27.89,42.65,12.16,12.74,12.655,11.695,12.295,12.205,13.535,12.715
Micerino,gemma,33.195,29.19,37.61,11.89,12.575,12.795,11.594999999999999,12.434999999999999,12.254999999999999,13.725,12.735
Quanto e alta la tomba di Cheope?,gemma,31.034999999999997,31.515,37.455,12.43,12.775,12.46,12.024999999999999,12.5,12.59,12.73,12.49
Si e scoperto il padre di Micerino?,gemma,30.415,28.515,41.07,12.030000000000001,12.649999999999999,12.61,11.625,12.405000000000001,12.219999999999999,13.715,12.74
quali sono le regole principali della pallavolo,gemma,28.585,26.94,44.480000000000004,12.51,12.585,12.9,11.725000000000001,12.51,12.335,12.94,12.49
quanti leopardi delle nevi sono rimasti,gemma,32.875,34.46,32.665,12.23,12.33,12.545,11.7,12.455,12.379999999999999,13.63,12.73
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,gemma,31.38,24.92,43.705,12.245000000000001,12.425,12.41,12.004999999999999,12.78,12.305,13.07,12.76
Come si costruivano le piramidi Egizie?,gemma,30.97,22.985,46.045,12.225,12.385,12.485,12.024999999999999,12.364999999999998,12.280000000000001,13.395,12.835
Dove si trova la piramide di Cheope?,gemma,27.375,26.875,45.75,12.370000000000001,12.52,12.24,12.36,12.774999999999999,12.305,12.64,12.8
FANTASMA DELLE MONTAGNE,gemma,26.23,30.64,43.13,11.945,12.645,12.79,11.7,12.684999999999999,12.204999999999998,13.215,12.825
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,gemma,30.78,26.66,42.555,11.93,12.524999999999999,12.705,11.665,12.305,12.1,13.844999999999999,12.93
Quale e la piramide egizia piu` alta ?,gemma,29.18,20.89,49.93,12.32,12.52,13.18,11.87,12.52,12.13,12.67,12.78
Quanto era alta la tomba del padre di Micerino?,gemma,36.02,26.77,37.22,11.73,12.21,12.86,11.87,12.5,12.43,13.76,12.65
quanto Ã¨ alta la tomba del padre di micerino,gemma,37.08,24.445,38.475,12.17,12.530000000000001,12.45,11.665,12.245,12.309999999999999,13.88,12.75
quanto Ã¨ alta la tomba del padre micerino,gemma,33.45,27.58,38.97,12.2,12.72,12.6,11.73,12.23,12.38,13.49,12.66
quanto Ã¨ alta la tomba di Chefren,gemma,32.37,31.53,36.105000000000004,12.03,12.32,12.535,11.969999999999999,12.285,12.39,13.71,12.754999999999999
quanto Ã¨ alta la tomba di micerino,gemma,37.515,23.245,39.24,12.11,12.395,12.46,11.690000000000001,12.27,12.125,13.965,12.969999999999999
quanto Ã©l alta la tomba di micerino,gemma,36.29,28.0,35.71,12.17,12.56,12.84,11.69,12.28,12.27,13.41,12.78
regioni italÃ©8iane con piu` squadre di pallavolo,gemma,28.88,23.94,47.18,12.395,12.58,12.645,11.844999999999999,12.285,12.045000000000002,13.36,12.845
tre animali a rischio di estinzione,gemma,36.21,24.325000000000003,39.465,12.24,12.67,12.48,11.754999999999999,12.415,12.37,13.54,12.535
tre animali a rischio estinzione,gemma,36.21,24.325000000000003,39.465,12.24,12.67,12.48,11.754999999999999,12.415,12.37,13.54,12.535
tre animali in via di estinzione,gemma,29.86,25.595,44.545,12.28,12.66,12.370000000000001,12.17,12.57,12.335,13.030000000000001,12.58
trova 3 animali a rischio di estinzione,gemma,32.144999999999996,25.025,42.83,12.21,12.365,12.345,12.03,12.74,12.415,13.23,12.665
un bambino sano quanto pasti fa al giorno,gemma,30.53,25.565,43.9,12.01,12.875,12.785,11.504999999999999,12.370000000000001,12.114999999999998,13.620000000000001,12.725000000000001
un fantasma delle montagne foto,gemma,28.88,31.22,39.91,12.01,12.875,12.785,11.504999999999999,12.370000000000001,12.114999999999998,13.620000000000001,12.725000000000001
vulcano attivo piu atlantico,gemma,33.225,22.84,43.935,12.2,12.39,12.475000000000001,11.985,12.649999999999999,12.399999999999999,13.115,12.785
wwf in via di estinzione,gemma,29.205,26.585,44.209999999999994,12.02,12.74,12.665,11.68,12.4,12.09,13.620000000000001,12.79
zigurat,gemma,31.665,29.215,39.125,12.059999999999999,12.61,12.434999999999999,11.78,12.350000000000001,12.225,13.825,12.715
i vantaggi della dieta mediterranea,gemma,31.86,22.92,45.22,12.23,12.41,12.305,11.875,12.565000000000001,12.535,13.530000000000001,12.555
il leopardo delle nevi e invertebrato o vertebrato,gemma,29.865000000000002,30.265,39.864999999999995,12.024999999999999,12.629999999999999,12.575,11.61,12.405000000000001,12.17,13.8,12.785
chi era san giuseppe,gemma,32.475,27.395000000000003,40.125,12.01,12.515,12.64,11.69,12.325,12.295,13.675,12.850000000000001
come e nata la festa del papa,gemma,36.405,24.83,38.76,12.34,12.365,12.395,11.795,12.379999999999999,12.42,13.5,12.8
come possiamo aiutare gli animali in estinzione,gemma,30.345,22.625,47.03,12.275,12.35,12.265,12.155000000000001,12.57,12.39,13.31,12.675
come si formano i vulcani,gemma,31.935000000000002,22.575,45.485,12.35,12.395,12.535,12.105,12.745000000000001,12.5,12.835,12.530000000000001
come si localizza un punto su una mappa,gemma,31.195,21.200000000000003,47.605000000000004,12.145,12.195,12.49,11.805,12.495000000000001,12.3,13.52,13.05
come si sviluppa un tornado,gemma,31.535,29.6,38.870000000000005,12.33,12.375,12.620000000000001,11.945,12.754999999999999,12.344999999999999,12.879999999999999,12.76
come si sviluppa un tornado e i suoi effetti,gemma,31.955000000000002,26.475,41.575,12.370000000000001,12.315,12.385,12.045,12.765,12.36,12.969999999999999,12.780000000000001
come si trova un punto su una mappa,gemma,31.5,23.29,45.205,12.165,12.18,12.445,11.83,12.625,12.4,13.395,12.955
come viene classificato il leopardo delle nevi,gemma,29.97,25.235,44.795,12.285,12.495000000000001,12.25,12.235,12.715,12.425,13.219999999999999,12.375
cosa possiamo fare per aiutare le specie in estinzione,gemma,27.28,18.535,54.185,12.265,12.195,12.145,12.23,12.795,12.379999999999999,13.295,12.695
cosa possiamo fare per aiutare le specie in via di estinzione,gemma,30.174999999999997,19.435000000000002,50.39,12.28,12.35,12.184999999999999,12.235,12.805,12.3,13.265,12.575
il mostro nero e un tornado,gemma,34.5,20.275,45.22,12.31,12.36,12.225,12.285,12.79,12.504999999999999,13.105,12.42
il mostro nero tornado che cos Ã¨,gemma,28.29,32.18,39.54,12.27,12.43,12.1,12.34,12.9,12.53,13.12,12.3
quali cibi forniscono carboidrati,gemma,38.83,19.47,41.7,12.0,12.63,12.33,11.73,12.64,12.16,13.7,12.81
quali sono due ingredienti del dolce tipico della festa del papa,gemma,32.575,23.42,44.004999999999995,12.940000000000001,12.65,12.594999999999999,12.165,12.33,12.465,12.66,12.195
quali sono gli altri nomi del tornado,gemma,36.26,26.33,37.41,12.13,12.5,12.55,11.73,12.41,12.14,13.55,12.98
quali sono i tipi di eruzione,gemma,34.480000000000004,26.035,39.485,12.25,12.195,12.325,12.05,12.594999999999999,12.4,13.365,12.81
quali sono le coordinate geografiche,gemma,34.885,23.695,41.42,12.325,12.125,12.41,12.16,12.74,12.5,12.96,12.79
quali sono le regole del basket,gemma,29.314999999999998,29.285,41.41,12.34,12.649999999999999,12.625,11.985,12.6,12.51,12.9,12.385
quali sono le regole del tennis,gemma,31.685000000000002,24.494999999999997,43.81999999999999,12.415,12.485,12.795,11.690000000000001,12.445,12.25,13.375,12.545
quando e nato il tennis,gemma,24.825,26.055,49.125,12.715,12.515,12.735,11.879999999999999,12.335,12.285,12.915,12.620000000000001
quanti esemplari di leopardo delle nevi sono rimasti,gemma,27.495,28.909999999999997,43.595,12.195,12.364999999999998,12.600000000000001,11.8,12.46,12.29,13.36,12.940000000000001
quanti esemplari rimangono di leopardo delle nevi,gemma,30.16,26.66,43.18,12.065000000000001,12.175,12.315000000000001,11.83,12.504999999999999,12.27,13.879999999999999,12.955
quanti giocatori ci sono in ogni squadra di basket,gemma,31.43,26.74,41.83,12.45,12.41,12.72,11.64,12.18,12.12,13.52,12.97
quanti sono i fantasmi delle montagne,gemma,36.28,19.935000000000002,43.785,11.91,12.405,12.5,11.8,12.350000000000001,12.265,13.96,12.805
tre animal a rischio estinzione,gemma,29.035,26.23,44.730000000000004,12.21,12.715,12.55,11.765,12.719999999999999,12.219999999999999,13.215,12.61
trova tre animali a rischio di estinzione,gemma,30.595,24.9,44.51,12.305,12.415,12.27,12.195,12.795000000000002,12.42,12.995000000000001,12.61
velociraptor dove e quando e vissuto,gemma,32.31,26.67,41.015,12.235,12.48,12.399999999999999,11.875,12.469999999999999,12.405000000000001,13.370000000000001,12.775
esemplari fantasma delle montagne,gemma,26.39,26.46,47.155,11.945,12.645,12.79,11.7,12.684999999999999,12.204999999999998,13.215,12.825
leopardo delle nevi,gemma,27.88,31.384999999999998,40.735,12.125,12.605,12.385000000000002,11.805,12.515,12.17,13.59,12.805
leopardo delle nevi classificazione,gemma,26.48,31.8,41.72,12.01,12.565,12.254999999999999,12.115,12.405000000000001,12.120000000000001,13.495,13.04
altri nomi del tornado,gemma,30.57,30.980000000000004,38.445,12.305,12.45,12.415,11.975,12.825,12.190000000000001,12.91,12.934999999999999
animali a rischio di estinzione,gemma,27.555,26.285,46.16,12.215,12.585,12.35,12.004999999999999,12.940000000000001,12.325,13.02,12.565000000000001
azioni per evitare estinzione degli animali,gemma,29.725,26.555,43.730000000000004,12.155000000000001,12.395,12.280000000000001,12.18,12.67,12.61,13.100000000000001,12.6
che velcitÃ  puÃ² raggiungere un tornado,gemma,25.9,25.73,48.370000000000005,11.995000000000001,12.365,12.79,11.675,12.535,12.18,13.379999999999999,13.08
come aiutare gli animali in via di estinzion^?,gemma,30.57,26.560000000000002,42.864999999999995,12.27,12.370000000000001,12.195,12.215,12.53,12.545,13.315000000000001,12.559999999999999
come aiutare gli animali in via di estinzione?,gemma,30.475,26.215,43.315,12.350000000000001,12.48,12.195,12.17,12.59,12.56,13.11,12.55
come aiutare le specie in estinzione,gemma,33.605,24.185000000000002,42.215,12.155000000000001,12.280000000000001,12.2,12.07,12.530000000000001,12.445,13.59,12.735
come aiutare le specie in estinzione focus,gemma,31.785,22.23,45.985,12.215,12.255,12.26,12.11,12.625,12.46,13.399999999999999,12.67
come possiamo aiutare le specie in pericolo,gemma,29.35,26.365000000000002,44.285,12.065,12.425,12.235,12.004999999999999,12.99,12.344999999999999,13.305,12.635000000000002
come possiamo salvare gli animali quasi estinti,gemma,27.65,26.009999999999998,46.34,12.254999999999999,12.43,12.14,12.309999999999999,12.665,12.45,13.18,12.58
come si forma un tornado,gemma,27.845,30.535,41.62,12.309999999999999,12.49,12.535,12.04,12.879999999999999,12.46,12.719999999999999,12.565
la classificazione del leopardo delle nevi,gemma,27.75,30.545,41.7,12.25,12.510000000000002,12.33,12.105,12.48,12.305,13.33,12.690000000000001
mostro nero,gemma,30.875,26.465,42.66,12.32,12.73,12.29,11.805,12.754999999999999,12.535,13.525,12.04
qual Ã¨ il vulcano attivo piÃ¹ antico,gemma,39.59,20.86,39.55,12.18,12.48,12.4,12.1,12.77,12.44,13.04,12.59
quale tipologia di eruzione provoca piÃ¹ danni?,gemma,29.384999999999998,28.805,41.815,12.115,12.3,12.504999999999999,11.8,12.69,12.58,13.34,12.67
quali animali sono in via di estinzione,gemma,30.195,22.259999999999998,47.55,12.309999999999999,12.605,12.23,12.05,12.565000000000001,12.285,13.415,12.545
quali sono gli esemplari rimasti di fantasma ...,gemma,29.509999999999998,26.265,44.224999999999994,12.155000000000001,12.3,12.39,11.870000000000001,12.59,12.34,13.365,12.985
quando Ã¨ avvenuto il mostro nero,gemma,32.47,31.64,35.9,11.97,12.36,12.63,11.83,12.27,12.34,13.72,12.89
quante specie di leopardi delle nevi esistono,gemma,28.285,30.08,41.64,12.280000000000001,12.525,12.239999999999998,12.505,12.655000000000001,12.575,12.875,12.335
quanti esemplari sono rimasti di fantasma del...,gemma,27.72,25.13,47.144999999999996,12.2,12.469999999999999,12.31,12.05,12.635,12.47,13.34,12.52
quanti sono gli esemplari di leopardo delle nevi,gemma,27.5,29.305,43.195,12.23,12.239999999999998,12.58,11.86,12.469999999999999,12.3,13.25,13.075
quanti sono gli esemplari rimasti di fantasma ...,gemma,32.925,22.455,44.62,11.945,12.39,12.52,11.68,12.415,12.21,13.91,12.93
sinonimi del tornado,gemma,30.89,27.975,41.14,12.379999999999999,12.275,12.440000000000001,12.055,13.23,12.27,12.215,13.135
tigre bianca,gemma,32.769999999999996,26.975,40.260000000000005,12.305,12.524999999999999,12.395,12.01,12.405000000000001,12.4,13.45,12.5
velocitÃ  massima del tornado,gemma,34.72,27.03,38.25,12.185,12.32,12.535,11.885,12.75,12.3,13.09,12.93
velocitÃ  massima di un tornado,gemma,34.510000000000005,25.675,39.815,12.185,12.41,12.56,11.86,12.685,12.29,13.175,12.83
