QID,Query,Prompt Type,Task Sentiment,IAS,Resp,Rank,date_generated
qGEN1,tornado,General,,Bing,"Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ...",1,2020
qGEN2,tornado,General,,Bing,"Extreme up-close video of tornado near Wray, CO! - YouTube. Extreme up-close footage of tornado just north of Wray, CO earlier today! SEE ALSO: 360 Video! https://www.youtube.com/watch?v=TCXp9Y5uPn4 MORE VIDEOS: http:...",2,2020
qGEN3,tornado,General,,Bing,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,3,2020
qGEN4,tornado,General,,Bing,"Tornado Central - weather.com. Tornado Season Is Off to an Active Start, But What Does That Mean for the Rest of It? May 7, 2019, 1:30 pm EDT March and April saw more tornado reports than average, but that does not mean May and ...",4,2020
qGEN5,tornado,General,,Bing,"Tornadoes | Ready.gov. Tornadoes can destroy buildings, flip cars, and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can: Happen anytime and anywhere; Bring intense winds, over 200 MPH; and Look like funnels.",5,2020
qGEN11,tornado ,General,,Bing,"Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia Tornado - Wikipedia. A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ... A tornado is a rapidly rotating column of air that is in contact with both the surface of the Earth and a cumulonimbus cloud or, in rare cases, the base of a cumulus cloud.The windstorm is often referred to as a twister, whirlwind or cyclone, although the word cyclone is used in meteorology to name a weather system with a low-pressure area in the center around which, from an observer looking ...",1,2020
qGEN12,tornado ,General,,Bing,Tornado facts and information. Tornadoes are vertical funnels of rapidly spinning air. Their winds may top 250 miles an hour and can clear a pathway a mile wide and 50 miles long.,2,2020
qGEN13,tornado ,General,,Bing,"Extreme up-close video of tornado near Wray, CO! - YouTube. Extreme up-close footage of tornado just north of Wray, CO earlier today! SEE ALSO: 360 Video! https://www.youtube.com/watch?v=TCXp9Y5uPn4 MORE VIDEOS: http:...",3,2020
qGEN14,tornado ,General,,Bing,"Tornado Central - weather.com. Tornado Season Is Off to an Active Start, But What Does That Mean for the Rest of It? May 7, 2019, 1:30 pm EDT March and April saw more tornado reports than average, but that does not mean May and ...",4,2020
qGEN15,tornado ,General,,Bing,"Tornadoes | Ready.gov. Tornadoes can destroy buildings, flip cars, and create deadly flying debris. Tornadoes are violently rotating columns of air that extend from a thunderstorm to the ground. Tornadoes can: Happen anytime and anywhere; Bring intense winds, over 200 MPH; and Look like funnels.",5,2020
