query,resp,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Chi era il padre di Micerino ?,"Non ho informazioni sul padre di Micerino, quindi non posso rispondere questa domanda.",Gemma,30.89,35.87,33.24,10.95,12.52,13.94,9.95,11.72,12.96,15.94,12.02
Il figlio di Chefren,Il figlio di Chefren è un giovane che vive a Firenze. È un uomo intelligente e riservato,Gemma,31.83,20.25,47.92,13.05,13.87,10.79,10.42,12.45,12.55,16.46,10.4
Il padre di Micerino,Il padre di Micerino era un uomo di nome Gioacchino.,Gemma,26.06,22.59,51.35,12.8,14.64,12.49,10.65,11.13,12.32,15.3,10.65
Micerino,"Mi chiamo Micerino.

Come posso essere d'aiuto oggi?",Gemma,23.67,46.01,30.32,12.31,13.49,12.93,6.71,13.04,11.8,17.11,12.61
Quanto e alta la tomba di Cheope?,"Non ho informazioni sul luogo della tomba di Cheope, quindi non posso rispondere questa domanda.",Gemma,33.7,33.14,33.16,11.39,12.08,13.35,10.38,12.14,12.87,15.01,12.77
Si e scoperto il padre di Micerino?,"No, non ho informazioni sul padre di Micerino.",Gemma,28.72,26.55,44.72,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
quali sono le regole principali della pallavolo,La pallavolo è un gioco di squadra che si gioca con una palla. I due team si,Gemma,25.55,30.96,43.49,16.5,12.45,15.99,8.43,10.22,10.34,13.16,12.91
quanti leopardi delle nevi sono rimasti,"Le nevi non hanno un numero specifico di rimenti, sono un'immagine generale del cielo.",Gemma,32.33,25.05,42.62,11.85,10.38,12.42,10.14,12.43,12.55,15.77,14.46
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,Il vento è un'atmosfera mozzafiato che si muove con la forza di un fiume,Gemma,32.45,23.49,44.06,13.23,13.24,13.44,8.51,14.03,11.81,13.16,12.57
Come si costruivano le piramidi Egizie?,Le piramidi Egizie non sono state costruite con la struttura di un modello di piramide,Gemma,24.61,21.08,54.31,11.06,12.01,11.98,9.94,12.44,10.73,17.48,14.37
Dove si trova la piramide di Cheope?,"La piramide di Cheope si trova a Giza, in Egitto.",Gemma,30.87,28.81,40.32,11.44,12.85,12.38,11.67,13.31,10.24,12.89,15.23
FANTASMA DELLE MONTAGNE,Le fantasie delle montagne sono un'esplosione di colori e di sapori.,Gemma,35.37,22.91,41.72,13.29,12.47,14.75,8.23,18.04,9.41,10.06,13.74
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,"Non posso fornire informazioni o opinioni sul tema del tortattamento, che è un tema di natura emo",Gemma,34.41,21.71,43.88,11.02,11.9,10.64,11.44,11.93,11.21,18.9,12.96
Quale e la piramide egizia piu` alta ?,Non ho informazioni sul quale piramide egizia sia la più alta.,Gemma,28.76,23.28,47.96,11.44,12.85,12.38,11.67,13.31,10.24,12.89,15.23
Quanto era alta la tomba del padre di Micerino?,"Non ho informazioni sul padre di Micerino, quindi non posso rispondere questa domanda.",Gemma,30.89,35.87,33.24,10.95,12.52,13.94,9.95,11.72,12.96,15.94,12.02
quanto Ã¨ alta la tomba del padre di micerino,"Non posso rispondere in italiano, e non posso utilizzare il inglese.",Gemma,28.61,38.63,32.76,11.45,11.3,12.52,11.17,12.63,12.88,16.56,11.49
quanto Ã¨ alta la tomba del padre micerino,"Non posso rispondere in italiano, e non posso utilizzare il inglese, anche per programmazione.",Gemma,27.84,35.73,36.43,11.44,10.97,12.41,11.22,12.43,12.71,16.14,12.68
quanto Ã¨ alta la tomba di Chefren,"Non posso rispondere in italiano, e non posso utilizzare il inglese.",Gemma,28.61,38.63,32.76,11.45,11.3,12.52,11.17,12.63,12.88,16.56,11.49
quanto Ã¨ alta la tomba di micerino,La tomba di Micerino è alta quanto un palazzo.,Gemma,25.2,24.54,50.26,12.22,13.9,14.58,9.84,12.7,12.36,12.46,11.95
quanto Ã©l alta la tomba di micerino,"Non posso rispondere in italiano, perché il testo è in inglese.",Gemma,25.77,34.57,39.66,12.21,12.3,13.06,11.02,11.48,12.07,15.75,12.1
regioni italÃ©8iane con piu` squadre di pallavolo,I campi di pallavolo in regione hanno una richia storia e una grande varietà di squadre di diverse,Gemma,25.83,21.19,52.98,14.05,11.36,13.36,10.44,11.62,11.79,14.6,12.78
tre animali a rischio di estinzione,"I tre animali a rischio di estinzione sono:

1. La giraffa
2.",Gemma,19.59,28.06,52.35,12.84,13.07,11.51,12.19,15.2,12.51,11.17,11.5
tre animali a rischio estinzione,"I tre animali a rischio estinzione sono il lupo, il tigre e il cervo.",Gemma,20.27,22.34,57.39,13.27,13.34,11.97,11.93,15.28,11.9,10.96,11.36
tre animali in via di estinzione,I tre animali in via di estinzione sono un gruppo di animali che vivevano nella zona in,Gemma,20.3,20.02,59.68,12.38,13.39,12.03,11.47,13.87,13.05,12.73,11.06
trova 3 animali a rischio di estinzione,"1. Cani
2. Girafi
3. Felini",Gemma,35.0,22.93,42.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
