Query,OG_male_rougeL,OG_male_rougeLsum,OG_female_rougeL,OG_female_rougeLsum,OG_neutral_rougeL,OG_neutral_rougeLsum
Chi era il padre di Micerino ?,0.2222222238779068,0.2777777910232544,0.1764705926179886,0.1764705926179886,0.1111111119389534,0.1111111119389534
Il figlio di Chefren,0.09090909361839294,0.09090909361839294,0.3076923191547394,0.3076923191547394,0.06896551698446274,0.06896551698446274
Il padre di Micerino,0.1702127605676651,0.1702127605676651,0.1355932205915451,0.1355932205915451,0.12765957415103912,0.12765957415103912
Micerino,0.0,0.0,0.02150537632405758,0.02150537632405758,0.01104972418397665,0.01104972418397665
Quanto e alta la tomba di Cheope?,0.2666666805744171,0.2666666805744171,0.1702127605676651,0.1702127605676651,0.2222222238779068,0.2666666805744171
Si e scoperto il padre di Micerino?,0.04968944191932678,0.06211180239915848,0.2857142984867096,0.2448979616165161,0.06666667014360428,0.06666667014360428
quali sono le regole principali della pallavolo,0.25783970952033997,0.4181184768676758,0.23853211104869843,0.3302752375602722,0.2596491277217865,0.4000000059604645
quanti leopardi delle nevi sono rimasti,0.12903225421905518,0.12903225421905518,0.1785714328289032,0.1428571492433548,0.13333334028720856,0.13333334028720856
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,0.13636364042758942,0.20779220759868622,0.13502109050750732,0.16877637803554535,0.1913580298423767,0.2716049253940582
Come si costruivano le piramidi Egizie?,0.18473894894123077,0.24899598956108093,0.09574468433856964,0.10638298094272614,0.08612440526485443,0.1435406655073166
Dove si trova la piramide di Cheope?,0.6399999856948853,0.6399999856948853,0.6363636255264282,0.6363636255264282,0.6086956262588501,0.6086956262588501
FANTASMA DELLE MONTAGNE,0.009900989942252636,0.009900989942252636,0.028436018154025078,0.028436018154025078,0.019801979884505272,0.019801979884505272
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,0.1538461595773697,0.1538461595773697,0.18918919563293457,0.18918919563293457,0.1463414579629898,0.1463414579629898
Quale e la piramide egizia piu` alta ?,0.8484848737716675,0.8484848737716675,0.9375,0.9375,0.8484848737716675,0.8484848737716675
Quanto era alta la tomba del padre di Micerino?,0.0833333358168602,0.0833333358168602,0.5454545617103577,0.5454545617103577,0.0833333358168602,0.0833333358168602
quanto ̬ alta la tomba del padre di micerino,0.7272727489471436,0.7272727489471436,0.4390243887901306,0.4390243887901306,0.4000000059604645,0.4000000059604645
quanto ̬ alta la tomba del padre micerino,0.6285714507102966,0.6285714507102966,0.4615384638309479,0.4615384638309479,0.6285714507102966,0.6285714507102966
quanto ̬ alta la tomba di Chefren,0.14814814925193787,0.14814814925193787,0.17142857611179352,0.17142857611179352,0.32258063554763794,0.32258063554763794
quanto ̬ alta la tomba di micerino,0.17142857611179352,0.11428571492433548,0.3030303120613098,0.3030303120613098,0.6818181872367859,0.6818181872367859
quanto ̩l alta la tomba di micerino,0.34285715222358704,0.34285715222358704,0.3333333432674408,0.3333333432674408,0.34285715222358704,0.34285715222358704
regioni ital̩8iane con piu` squadre di pallavolo,0.1318681389093399,0.1538461595773697,0.13114753365516663,0.14754098653793335,0.13333334028720856,0.15555556118488312
tre animali a rischio di estinzione,0.058139536529779434,0.058139536529779434,0.14150942862033844,0.22641509771347046,0.07865168899297714,0.056179776787757874
