Query,OG_male_rougeL,OG_male_rougeLsum,OG_female_rougeL,OG_female_rougeLsum,OG_neutral_rougeL,OG_neutral_rougeLsum
Chi era il padre di Micerino ?,1.0,1.0,0.31578946113586426,0.31578946113586426,0.3636363744735718,0.3636363744735718
Il figlio di Chefren,0.03921568766236305,0.03921568766236305,0.2083333283662796,0.2083333283662796,0.3870967626571655,0.3870967626571655
Il padre di Micerino,0.21686747670173645,0.21686747670173645,0.3448275923728943,0.3448275923728943,0.47058823704719543,0.47058823704719543
Micerino,0.39603960514068604,0.39603960514068604,0.07407407462596893,0.07407407462596893,0.06451612710952759,0.06451612710952759
Quanto e alta la tomba di Cheope?,0.5490196347236633,0.5490196347236633,0.1846153885126114,0.1846153885126114,0.7179487347602844,0.7179487347602844
Si e scoperto il padre di Micerino?,0.2830188572406769,0.3207547068595886,0.20183485746383667,0.2568807303905487,0.18018017709255219,0.23423422873020172
quali sono le regole principali della pallavolo,0.3453815281391144,0.5140562057495117,0.37246963381767273,0.5020242929458618,0.27149322628974915,0.4072398245334625
quanti leopardi delle nevi sono rimasti,0.375,0.375,0.4193548262119293,0.4516128897666931,0.3571428656578064,0.4285714328289032
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,0.4285714328289032,0.48571428656578064,0.41025641560554504,0.41025641560554504,0.5714285969734192,0.5714285969734192
Come si costruivano le piramidi Egizie?,0.5423728823661804,0.5593220591545105,0.5102040767669678,0.5102040767669678,0.35185185074806213,0.3888888955116272
Dove si trova la piramide di Cheope?,0.5161290168762207,0.5806451439857483,0.3636363744735718,0.3636363744735718,0.41025641560554504,0.4615384638309479
FANTASMA DELLE MONTAGNE,0.7368420958518982,0.7368420958518982,0.4615384638309479,0.4615384638309479,0.11320754885673523,0.11320754885673523
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,0.28070175647735596,0.28070175647735596,0.3404255211353302,0.38297873735427856,0.3636363744735718,0.3636363744735718
Quale e la piramide egizia piu` alta ?,0.3571428656578064,0.3571428656578064,0.3125,0.3125,0.25641027092933655,0.25641027092933655
Quanto era alta la tomba del padre di Micerino?,0.5555555820465088,0.5555555820465088,0.8695651888847351,0.8695651888847351,0.36734694242477417,0.36734694242477417
quanto Ã¨ alta la tomba del padre di micerino,0.22580644488334656,0.29032257199287415,0.26865673065185547,0.2985074520111084,0.28070175647735596,0.28070175647735596
quanto Ã¨ alta la tomba del padre micerino,0.0,0.0,0.12765957415103912,0.12765957415103912,0.375,0.4375
quanto Ã¨ alta la tomba di Chefren,0.4000000059604645,0.4000000059604645,0.19354838132858276,0.22580644488334656,0.3333333432674408,0.3333333432674408
quanto Ã¨ alta la tomba di micerino,0.37837839126586914,0.37837839126586914,0.0833333358168602,0.0833333358168602,0.0,0.0
quanto Ã©l alta la tomba di micerino,0.05128205195069313,0.05128205195069313,0.04444444552063942,0.04444444552063942,0.1090909093618393,0.1090909093618393
regioni italÃ©8iane con piu` squadre di pallavolo,0.0,0.0,0.2631579041481018,0.2631579041481018,0.34285715222358704,0.34285715222358704
tre animali a rischio di estinzione,0.12765957415103912,0.1702127605676651,0.1538461595773697,0.26923078298568726,0.09302325546741486,0.13953489065170288
tre animali a rischio estinzione,0.08510638028383255,0.12765957415103912,0.07692307978868484,0.11538461595773697,0.11999999731779099,0.11999999731779099
tre animali in via di estinzione,0.43478259444236755,0.6086956262588501,0.13636364042758942,0.13636364042758942,0.1599999964237213,0.20000000298023224
trova 3 animali a rischio di estinzione,0.30434781312942505,0.3478260934352875,0.38461539149284363,0.4615384638309479,0.18867924809455872,0.18867924809455872
un bambino sano quanto pasti fa al giorno,0.517241358757019,0.5344827771186829,0.3709677457809448,0.4032258093357086,0.4423076808452606,0.48076921701431274
un fantasma delle montagne foto,0.2857142984867096,0.2857142984867096,0.29629629850387573,0.29629629850387573,0.190476194024086,0.190476194024086
vulcano attivo piu atlantico,0.25531914830207825,0.25531914830207825,0.1388888955116272,0.1666666716337204,0.10526315867900848,0.10526315867900848
wwf in via di estinzione,0.14000000059604645,0.18000000715255737,0.07792207598686218,0.12987013161182404,0.13223139941692352,0.19834710657596588
zigurat,0.27397260069847107,0.30136987566947937,0.10256410390138626,0.10256410390138626,0.2857142984867096,0.3214285671710968
i vantaggi della dieta mediterranea,0.2641509473323822,0.44025155901908875,0.2368421107530594,0.40789473056793213,0.36800000071525574,0.3840000033378601
il leopardo delle nevi e invertebrato o vertebrato,0.46666666865348816,0.46666666865348816,0.6363636255264282,0.6363636255264282,0.46666666865348816,0.46666666865348816
chi era san giuseppe,0.38461539149284363,0.5384615659713745,0.42696627974510193,0.516853928565979,0.39436620473861694,0.4507042169570923
come e nata la festa del papa,0.3235294222831726,0.3382352888584137,0.5740740895271301,0.5925925970077515,0.30909091234207153,0.4363636374473572
come possiamo aiutare gli animali in estinzione,0.29885056614875793,0.29885056614875793,0.21739129722118378,0.24637681245803833,0.39080458879470825,0.36781609058380127
come si formano i vulcani,0.37142857909202576,0.4571428596973419,0.2702702581882477,0.30630630254745483,0.3484848439693451,0.469696968793869
come si localizza un punto su una mappa,0.3461538553237915,0.4423076808452606,0.3486238420009613,0.40366971492767334,0.37168142199516296,0.4247787594795227
come si sviluppa un tornado,0.21138212084770203,0.27642276883125305,0.2521008551120758,0.3025210201740265,0.2720000147819519,0.3199999928474426
come si sviluppa un tornado e i suoi effetti,0.3093922734260559,0.3977900445461273,0.3106796145439148,0.3980582654476166,0.2954545319080353,0.375
come si trova un punto su una mappa,0.30434781312942505,0.3695652186870575,0.375,0.3958333432674408,0.3541666567325592,0.4166666567325592
come viene classificato il leopardo delle nevi,0.5846154093742371,0.6153846383094788,0.17599999904632568,0.17599999904632568,0.3636363744735718,0.5151515007019043
cosa possiamo fare per aiutare le specie in estinzione,0.26923078298568726,0.26923078298568726,0.20895522832870483,0.23880596458911896,0.23255814611911774,0.25581395626068115
cosa possiamo fare per aiutare le specie in via di estinzione,0.27272728085517883,0.3863636255264282,0.3595505654811859,0.3595505654811859,0.41558441519737244,0.41558441519737244
il mostro nero e un tornado,0.16949152946472168,0.16949152946472168,0.1818181872367859,0.1818181872367859,0.1944444477558136,0.25
il mostro nero tornado che cos Ã¨,0.208695650100708,0.313043475151062,0.3125,0.375,0.19354838132858276,0.25806450843811035
quali cibi forniscono carboidrati,0.2222222238779068,0.2777777910232544,0.21276596188545227,0.21276596188545227,0.27272728085517883,0.27272728085517883
quali sono due ingredienti del dolce tipico della festa del papa,0.5,0.5,0.4444444477558136,0.4444444477558136,0.523809552192688,0.523809552192688
quali sono gli altri nomi del tornado,0.3181818127632141,0.3181818127632141,0.625,0.625,0.41025641560554504,0.41025641560554504
quali sono i tipi di eruzione,0.2678571343421936,0.3214285671710968,0.28070175647735596,0.2982456088066101,0.4166666567325592,0.44999998807907104
quali sono le coordinate geografiche,0.0833333358168602,0.1041666641831398,0.11235955357551575,0.13483145833015442,0.09302325546741486,0.11627907305955887
quali sono le regole del basket,0.25882354378700256,0.25882354378700256,0.25600001215934753,0.30399999022483826,0.3333333432674408,0.30000001192092896
quali sono le regole del tennis,0.21875,0.3671875,0.21259842813014984,0.31496062874794006,0.21926909685134888,0.35880398750305176
quando e nato il tennis,0.3529411852359772,0.3529411852359772,0.25531914830207825,0.25531914830207825,0.5517241358757019,0.5517241358757019
quanti esemplari di leopardo delle nevi sono rimasti,0.4406779706478119,0.4406779706478119,0.3492063581943512,0.3492063581943512,0.42307692766189575,0.42307692766189575
quanti esemplari rimangono di leopardo delle nevi,0.3589743673801422,0.3589743673801422,0.6470588445663452,0.6470588445663452,0.37681159377098083,0.43478259444236755
quanti giocatori ci sono in ogni squadra di basket,0.6399999856948853,0.6399999856948853,0.4375,0.4375,0.782608687877655,0.782608687877655
quanti sono i fantasmi delle montagne,0.4000000059604645,0.4000000059604645,0.1428571492433548,0.1071428582072258,0.23188406229019165,0.28985506296157837
tre animal a rischio estinzione,0.17142857611179352,0.17142857611179352,0.1702127605676651,0.21276596188545227,0.3333333432674408,0.4000000059604645
trova tre animali a rischio di estinzione,0.0,0.0,0.13953489065170288,0.1860465109348297,0.23999999463558197,0.23999999463558197
velociraptor dove e quando e vissuto,0.53125,0.53125,0.5090909004211426,0.5090909004211426,0.4507042169570923,0.47887325286865234
esemplari fantasma delle montagne,0.09677419066429138,0.12903225421905518,0.05263157933950424,0.05263157933950424,0.3684210479259491,0.3684210479259491
leopardo delle nevi,0.2921348214149475,0.33707866072654724,0.3366336524486542,0.3564356565475464,0.32307693362236023,0.35384616255760193
leopardo delle nevi classificazione,0.42553192377090454,0.5106382966041565,0.4533333480358124,0.4533333480358124,0.43589743971824646,0.4871794879436493
altri nomi del tornado,0.2222222238779068,0.2777777910232544,0.20000000298023224,0.25,0.21621622145175934,0.2702702581882477
animali a rischio di estinzione,0.4545454680919647,0.47727271914482117,0.3030303120613098,0.3636363744735718,0.39175257086753845,0.4329896867275238
azioni per evitare estinzione degli animali,0.32380953431129456,0.39047619700431824,0.3708609342575073,0.4503311216831207,0.3864734172821045,0.47342994809150696
che velcitÃ  puÃ² raggiungere un tornado,0.30136987566947937,0.3287671208381653,0.23255814611911774,0.25581395626068115,0.1927710771560669,0.1927710771560669
come aiutare gli animali in via di estinzion^?,0.34951457381248474,0.40776699781417847,0.28099173307418823,0.3636363744735718,0.28787878155708313,0.3030303120613098
come aiutare gli animali in via di estinzione?,0.2638888955116272,0.4027777910232544,0.2857142984867096,0.3246753215789795,0.35384616255760193,0.4307692348957062
come aiutare le specie in estinzione,0.17886178195476532,0.35772356390953064,0.25925925374031067,0.3888888955116272,0.279720276594162,0.3636363744735718
come aiutare le specie in estinzione focus,0.22680412232875824,0.34020617604255676,0.19555555284023285,0.3288888931274414,0.21978022158145905,0.2747252881526947
come possiamo aiutare le specie in pericolo,0.1962616890668869,0.2429906576871872,0.15458936989307404,0.21256038546562195,0.17258882522583008,0.20304568111896515
come possiamo salvare gli animali quasi estinti,0.1678321659564972,0.2937062978744507,0.21739129722118378,0.260869562625885,0.2023809552192688,0.3214285671710968
come si forma un tornado,0.22900763154029846,0.2442748099565506,0.3835616409778595,0.5479452013969421,0.38596490025520325,0.45614033937454224
