Analysis,Prompt Type,Task Sentiment,Text Sample,rank,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Lexical,General,Overall,Bing,Overall,15.7,14.78,69.52,6.57,13.97,2.08,18.65,7.78,5.41,10.01,35.46
Lexical,General,Overall,Bing,1,14.83,13.91,71.26,6.71,15.7,1.85,20.63,6.53,5.75,8.58,34.25
Lexical,General,Overall,Bing,2,15.86,14.75,69.38,7.09,14.34,1.9,17.07,8.09,5.69,10.56,34.88
Lexical,General,Overall,Bing,3,15.84,14.77,69.39,6.57,14.33,2.44,18.55,8.9,5.42,9.73,34.07
Lexical,General,Overall,Bing,4,15.96,15.24,68.8,5.09,12.43,1.98,18.66,7.36,5.71,12.14,36.63
Lexical,General,Overall,Bing,5,16.04,15.24,68.72,7.37,12.99,2.23,18.31,8.05,4.51,9.04,37.5
Lexical,EM,Overall,Bing,Overall,15.53,14.57,69.9,4.94,12.93,2.84,10.81,7.39,5.21,18.91,36.97
Lexical,EM,Overall,Bing,1,15.6,14.5,69.9,5.82,12.21,3.28,8.91,8.4,5.21,20.19,35.98
Lexical,EM,Overall,Bing,2,15.51,14.5,69.98,4.29,16.21,2.61,11.32,5.66,3.09,18.36,38.47
Lexical,EM,Overall,Bing,3,15.59,14.44,69.97,5.87,13.21,2.81,10.76,8.54,4.78,16.82,37.21
Lexical,EM,Overall,Bing,4,15.46,14.83,69.72,4.34,10.49,3.23,11.52,8.12,5.96,20.6,35.72
Lexical,EM,Overall,Bing,5,15.48,14.6,69.93,4.38,12.56,2.25,11.57,6.22,7.01,18.54,37.48
Lexical,EM,Bad,Bing,Overall,15.53,15.63,68.83,5.32,14.64,2.44,15.87,4.41,4.04,22.12,31.16
Lexical,EM,Good,Bing,Overall,15.52,13.38,71.11,4.52,11.0,3.29,5.09,10.76,6.53,15.28,43.53
