QID,Task Sentiment,rank,IAS,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
qGEN1,,1,Bing,9.720956965333333,9.432725066666668,80.84631800000001,12.5,12.5,0.0,18.75,18.75,0.0,31.25,6.25
qGEN2,,2,Bing,17.2979594137931,18.31697665517241,64.38506368965517,0.0,12.5,0.0,25.0,12.5,0.0,50.0,0.0
qGEN3,,3,Bing,13.928571733333332,13.9452029,72.12622523333333,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
qGEN4,,4,Bing,18.42231938461539,24.50067765384616,57.07700184615385,0.0,0.0,0.0,20.000000000000004,20.000000000000004,13.333333333333337,46.666666666666664,0.0
qGEN5,,5,Bing,11.141216678571428,13.802887214285715,75.0558955952381,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0
qGEN11,,1,Bing,9.720956965333333,9.432725066666668,80.84631800000001,12.5,12.5,0.0,18.75,18.75,0.0,31.25,6.25
qGEN12,,2,Bing,13.928571733333332,13.9452029,72.12622523333333,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
qGEN13,,3,Bing,17.2979594137931,18.31697665517241,64.38506368965517,0.0,12.5,0.0,25.0,12.5,0.0,50.0,0.0
qGEN14,,4,Bing,18.42231938461539,24.50067765384616,57.07700184615385,0.0,0.0,0.0,20.000000000000004,20.000000000000004,13.333333333333337,46.666666666666664,0.0
qGEN15,,5,Bing,11.141216678571428,13.802887214285715,75.0558955952381,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0
qGEN21,,1,Bing,9.720956965333333,9.432725066666668,80.84631800000001,12.5,12.5,0.0,18.75,18.75,0.0,31.25,6.25
qGEN22,,2,Bing,13.928571733333332,13.9452029,72.12622523333333,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
qGEN23,,3,Bing,17.2979594137931,18.31697665517241,64.38506368965517,0.0,12.5,0.0,25.0,12.5,0.0,50.0,0.0
qGEN24,,4,Bing,18.42231938461539,24.50067765384616,57.07700184615385,0.0,0.0,0.0,20.000000000000004,20.000000000000004,13.333333333333337,46.666666666666664,0.0
qGEN25,,5,Bing,11.141216678571428,13.802887214285715,75.0558955952381,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0
qGEN31,,1,Bing,9.720956965333333,9.432725066666668,80.84631800000001,12.5,12.5,0.0,18.75,18.75,0.0,31.25,6.25
qGEN32,,2,Bing,13.928571733333332,13.9452029,72.12622523333333,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
qGEN33,,3,Bing,17.2979594137931,18.31697665517241,64.38506368965517,0.0,12.5,0.0,25.0,12.5,0.0,50.0,0.0
qGEN34,,4,Bing,18.42231938461539,24.50067765384616,57.07700184615385,0.0,0.0,0.0,20.000000000000004,20.000000000000004,13.333333333333337,46.666666666666664,0.0
qGEN35,,5,Bing,11.141216678571428,13.802887214285715,75.0558955952381,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0
qGEN41,,1,Bing,9.720956965333333,9.432725066666668,80.84631800000001,12.5,12.5,0.0,18.75,18.75,0.0,31.25,6.25
qGEN42,,2,Bing,13.928571733333332,13.9452029,72.12622523333333,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
qGEN43,,3,Bing,17.2979594137931,18.31697665517241,64.38506368965517,0.0,12.5,0.0,25.0,12.5,0.0,50.0,0.0
qGEN44,,4,Bing,18.42231938461539,24.50067765384616,57.07700184615385,0.0,0.0,0.0,20.000000000000004,20.000000000000004,13.333333333333337,46.666666666666664,0.0
qGEN45,,5,Bing,11.141216678571428,13.802887214285715,75.0558955952381,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0
qGEN51,,1,Bing,9.720956965333333,9.432725066666668,80.84631800000001,12.5,12.5,0.0,18.75,18.75,0.0,31.25,6.25
qGEN52,,2,Bing,13.928571733333332,13.9452029,72.12622523333333,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
qGEN53,,3,Bing,17.2979594137931,18.31697665517241,64.38506368965517,0.0,12.5,0.0,25.0,12.5,0.0,50.0,0.0
qGEN54,,4,Bing,18.42231938461539,24.50067765384616,57.07700184615385,0.0,0.0,0.0,20.000000000000004,20.000000000000004,13.333333333333337,46.666666666666664,0.0
qGEN55,,5,Bing,11.141216678571428,13.802887214285715,75.0558955952381,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0
