query,OG_sentiment_JSD,OG_emotion_JSD,RQ_male_sentiment_JSD,RQ_male_emotion_JSD,RQ_female_sentiment_JSD,RQ_female_emotion_JSD,RQ_neutral_sentiment_JSD,RQ_neutral_emotion_JSD
Chi era il padre di Micerino ?,0.03886070593435131,0.010342027388218432,0.08944423043529229,0.014657241867510435,0.0636434759780143,0.019910503269213824,0.06880481283923166,0.014834337930097773
Il figlio di Chefren,0.0,0.0,0.09302749931445274,0.015254674394452631,0.03682641464215774,0.02331797025063659,0.09390494490560422,0.017278638343709303
Il padre di Micerino,0.0991048950856771,0.011102565789264605,0.026061429244894022,0.010601178963384323,0.0463213665656908,0.019910503269213824,0.08133754412069355,0.011053675543900415
Micerino,,,,,,,,
Quanto e alta la tomba di Cheope?,0.07341833321439671,0.00946106227835633,0.026912271344326773,0.0044425153067063905,0.0587324814908786,0.013687449045071928,0.06437798552847715,0.02043284273375431
Si e scoperto il padre di Micerino?,0.13152765457635698,0.012066021550157917,0.06600497919188,0.012688256635110015,0.07767639032823857,0.019910503269213824,0.10288269638840605,0.01004872799431654
quali sono le regole principali della pallavolo,0.0728188801613321,0.01578327856778007,0.068579094720461,0.013600234748575612,0.06746716901440634,0.013695189251440873,0.05584405537393408,0.014746008813591588
quanti leopardi delle nevi sono rimasti,0.12219438740363947,,0.08869964514064317,,0.15748294495621282,,0.1680743573431845,
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,0.07948336864521302,0.005716524076416613,0.027872092351848576,0.005280625163635944,0.014976247998549649,0.00651572811385425,0.02382895173411513,0.008244686223472852
Come si costruivano le piramidi Egizie?,0.1058342422301165,,0.12282735447700478,,0.17102458626509862,,0.07804543917485564,
Dove si trova la piramide di Cheope?,0.06088518326681493,0.005176983304326123,0.0524181162019078,0.00706432736314964,0.06963123963713633,0.005375694194307099,0.020926418543413698,0.0
FANTASMA DELLE MONTAGNE,0.0569217349916275,0.013195497816692662,0.13473002129113154,0.008717657651665574,0.13473002129113154,0.008679428667378922,0.12758657383835195,0.012097113093196925
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,0.15505572935299247,,0.10208856249546976,,0.13759696251500955,,0.14656404483993932,
Quale e la piramide egizia piu` alta ?,0.014926991780309823,0.006014088605721666,0.023868351400271198,0.009009272791303606,0.023868351400271198,0.009009272791303606,0.014926991780309823,0.006014088605721666
Quanto era alta la tomba del padre di Micerino?,0.010900849934932667,0.0,0.0677155526600879,0.018076634635896094,0.0677155526600879,0.018076634635896094,0.06514208517043285,0.012221573603296189
quanto ̬ alta la tomba del padre di micerino,0.05632884222958952,0.00860086878280201,0.060134472977571594,0.015590979844604134,0.09679133200712865,0.01763109314867242,0.091205160587464,0.012441075562910691
quanto ̬ alta la tomba del padre micerino,0.05632884222958952,0.00860086878280201,0.04899465321430146,0.012152400225656822,0.04899465321430146,0.012152400225656822,0.0884361825664124,0.011876348147083866
quanto ̬ alta la tomba di Chefren,0.044038789628199966,0.0,0.04534936504723503,0.018006367416416685,0.031188781174141037,0.018224449370181337,0.08217488555219489,0.01285088713412284
quanto ̬ alta la tomba di micerino,0.05272869052209814,0.01702595361031186,0.06658615617631038,0.02212710100675191,0.0955335119429685,0.021752966693864194,0.10648266146698275,0.01558096838824344
quanto ̩l alta la tomba di micerino,0.08007533788738076,0.012452939186138639,0.062383993392348874,0.01573398039183844,0.062383993392348874,0.01573398039183844,0.062383993392348874,0.01573398039183844
regioni ital̩8iane con piu` squadre di pallavolo,0.05865807675439183,0.01468208574295104,0.0857167149508522,0.015173319339531819,0.0857167149508522,0.01721543287475275,0.12043439770949976,0.015394685732758632
tre animali a rischio di estinzione,0.07949786841670327,0.005431677928819865,0.12302029888824255,0.012743519930048929,0.15971959979176187,0.014768359727821784,0.07295435243526943,0.013714608602734237
tre animali a rischio estinzione,0.06261521337894235,0.006065826599093223,0.12302029888824255,0.012743519930048929,0.15971959979176187,0.014768359727821784,0.08050608266835878,0.01089089951237672
tre animali in via di estinzione,0.08169244390576343,0.004341808465886485,0.11458059132551854,0.015751403413986682,0.09669539576600947,0.00989844792550097,0.10666932505240315,0.012748816046783122
trova 3 animali a rischio di estinzione,0.14761474469031705,0.015486906633471353,0.03899116203326338,0.007372448599158499,0.05690265995680651,0.00787413993520483,0.05055000268838889,0.007340402004697987
un bambino sano quanto pasti fa al giorno,0.01803379201282333,0.009518422333355795,0.025180626683461466,0.014790166445103276,0.06759398765803724,0.02606511220082966,0.01530707043101944,0.013173165014959314
