query,source,query_len,topic,search_type
Chi era il padre di Micerino ?,IT-GUI,6,history,multisteps
Il figlio di Chefren,IT-GUI,4,history,multisteps
Il padre di Micerino,IT-GUI,4,history,multisteps
Micerino,IT-GUI,1,history,multisteps
Quanto e alta la tomba di Cheope?,IT-GUI,7,history,fact
Si e scoperto il padre di Micerino?,IT-GUI,7,history,multisteps
quali sono le regole principali della pallavolo,IT-GUI,7,sports,opensearch
quanti leopardi delle nevi sono rimasti,IT-GUI,6,endangered animals,multisteps
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,IT-GUI,8,tornado,fact
Come si costruivano le piramidi Egizie?,IT-GUI,6,history,opensearch
Dove si trova la piramide di Cheope?,IT-GUI,7,history,fact
FANTASMA DELLE MONTAGNE,IT-GUI,3,endangered animals,multisteps
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,IT-GUI,8,tornado,fact
Quale e la piramide egizia piu` alta ?,IT-GUI,7,history,fact
Quanto era alta la tomba del padre di Micerino?,IT-GUI,9,history,fact
quanto ̬ alta la tomba del padre di micerino,IT-GUI,9,history,multisteps
quanto ̬ alta la tomba del padre micerino,IT-GUI,8,history,multisteps
quanto ̬ alta la tomba di Chefren,IT-GUI,7,history,multisteps
quanto ̬ alta la tomba di micerino,IT-GUI,7,history,multisteps
quanto ̩l alta la tomba di micerino,IT-GUI,7,history,multisteps
regioni ital̩8iane con piu` squadre di pallavolo,IT-GUI,7,sports,multisteps
tre animali a rischio di estinzione,IT-GUI,6,endangered animals,fact
tre animali a rischio estinzione,IT-GUI,5,endangered animals,fact
tre animali in via di estinzione,IT-GUI,6,endangered animals,fact
trova 3 animali a rischio di estinzione,IT-GUI,7,endangered animals,fact
un bambino sano quanto pasti fa al giorno,IT-GUI,8,sports,fact
un fantasma delle montagne foto,IT-GUI,5,endangered animals,fact
vulcano attivo piu atlantico,IT-GUI,4,volcanos,fact
wwf in via di estinzione,IT-GUI,5,endangered animals,fact
zigurat,IT-GUI,1,history,unknown
i vantaggi della dieta mediterranea,IT-Wizard,5,sports,opensearch
il leopardo delle nevi e invertebrato o vertebrato,IT-Wizard,8,endangered animals,fact
chi era san giuseppe,IT-Wizard,4,father day,fact
come e nata la festa del papa,IT-Wizard,7,father day,opensearch
come possiamo aiutare gli animali in estinzione,IT-Wizard,7,endangered animals,infosearch
come si formano i vulcani,IT-Wizard,5,volcanos,opensearch
come si localizza un punto su una mappa,IT-Wizard,8,geography,multisteps
come si sviluppa un tornado,IT-Wizard,5,tornado,infosearch
come si sviluppa un tornado e i suoi effetti,IT-Wizard,9,tornado,infosearch
come si trova un punto su una mappa,IT-Wizard,8,geography,multisteps
come viene classificato il leopardo delle nevi,IT-Wizard,7,endangered animals,fact
cosa possiamo fare per aiutare le specie in estinzione,IT-Wizard,9,endangered animals,infosearch
cosa possiamo fare per aiutare le specie in via di estinzione,IT-Wizard,11,endangered animals,multisteps
il mostro nero e un tornado,IT-Wizard,6,tornado,multisteps
il mostro nero tornado che cos ̬,IT-Wizard,7,tornado,multisteps
quali cibi forniscono carboidrati,IT-Wizard,4,sports,fact
quali sono due ingredienti del dolce tipico della festa del papa,IT-Wizard,11,father day,multisteps
quali sono gli altri nomi del tornado,IT-Wizard,7,tornado,fact
quali sono i tipi di eruzione,IT-Wizard,6,volcanos,multisteps
quali sono le coordinate geografiche,IT-Wizard,5,geography,opensearch
quali sono le regole del basket,IT-Wizard,6,sports,opensearch
quali sono le regole del tennis,IT-Wizard,6,sports,opensearch
quando e nato il tennis,IT-Wizard,5,sports,fact
quanti esemplari di leopardo delle nevi sono rimasti,IT-Wizard,8,endangered animals,multisteps
