query,text_sample,position,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
Cosa Ã¨ Ä¾isola di plastica,"Cos'è la plastica e come si produce. La plastica, un elemento assente in natura. Seppur molto diffusa, la plastica non è un materiale che si ricava solo ed esclusivamente dall’utilizzo di sostanze presenti in natura, come accade invece per altre tipologie di materiali quali la carta che deriva dalla lavorazione del legno.",1,16.43426894230769,13.8526108,69.71311989615384,12.507346467883126,12.530951843107147,11.126356801975442,12.802870388783989,10.999162858183901,11.003332061977416,12.156923988079429,16.87305559000952
Cosa Ã¨ Ä¾isola di plastica,"Pacific Trash Vortex - Wikipedia. Il Pacific Trash Vortex, noto anche come grande chiazza di immondizia del Pacifico (Great Pacific Garbage Patch) o semplicemente isola di plastica, è un enorme accumulo di spazzatura galleggiante (composto soprattutto da plastica) situato nell'Oceano Pacifico, approssimativamente fra il 135º e il 155º meridiano Ovest e fra il 35º e il 42º parallelo Nord.",2,15.860556888888889,15.469258359259259,68.67018485185184,12.603281963843315,12.839116124010305,11.779359578561381,13.31355109859736,12.358371195167841,11.978966499537199,11.870998788495664,13.256354751786906
Cosa Ã¨ Ä¾isola di plastica,"isola di plastica che cos'è e perchè non può essere salvata. La Scimmia ti porta alla scoperta dell’isola di plastica. In occasione della giornata mondiale senza sacchetti di plastica, noi della Scimmia vogliamo fare luce su un problema sempre più diffuso: l’inquinamento di plastica nei mari e negli oceani e le sue conseguenze.. Oggi noi scimmie desideriamo farti fare pace con il lato ambientalista che c’è dentro di te, lo faremo raccontandoti ...",3,15.073561111111111,16.051902333333334,68.8745368611111,12.90807687363991,12.22064763858551,10.206846394781136,13.409272281896115,12.620622774435585,12.078965659193498,12.403621359537603,14.151947017930613
Cosa Ã¨ Ä¾isola di plastica,Cosa sono e come si creano le isole di plastica - Greenious. Le isole di plastica in dati. Per avere un’idea più concreta di cosa siano realmente le isole di plastica basta guardare i dati: oltre 275.000 tonnellate di plastica vengono prodotte in tutto il mondo; ogni anno oltre 13 milioni di tonnellate di plastica finiscono in mare. Un flacone di plastica impiega circa 900 anni per essere smaltito ...,4,14.208046369230768,14.785137203076923,71.00681586153846,12.081046467188655,13.226172030227005,10.163997688261627,12.758813420842985,12.734584471279451,12.971234664646438,12.671911545494993,13.392239712058815
Cosa Ã¨ Ä¾isola di plastica,"Saldatura plastica fai da te - YouTube. Creazione di stick di plastica da usare con la pistola per la colla a caldo, e fili per la microsaldatura con penna a gas, fai da te, tanti altri tutorial, spero utili, sul canale!",5,13.738540100000002,12.927183540000001,73.33427606250001,12.03529570470568,12.909666982499019,10.134451441748288,12.963237636893293,12.116905514594078,11.887961261527764,13.9960216201814,13.956459837850444
Cosa Ã¨ Ä¾isola di plastica,"Bioplastica: che cosa sono e perché le useremo. Sembra che le vie per ottenere la nuova generazione di sostanze siano innumerevoli e forse si sta presentando l’opportunità di muoversi verso la soluzione dei grandi problemi di carattere ambientale. Ma di cosa si tratta realmente? È veramente un’opzione che, in un prossimo futuro, permetterà di sostituire la plastica tradizionale ...",6,15.790001075862067,14.264507318965517,69.94549163793103,10.767031410236454,15.03630570277613,10.10236156218285,12.48415000781922,10.906172735794877,12.344437987606833,11.605138889147854,16.754401704435747
Cosa Ã¨ Ä¾isola di plastica,"Inquinamento causato dalla plastica - Wikipedia. Tale tipo di inquinamento interessa l'aria, il suolo, i fiumi, i laghi e gli oceani. L'importanza e la rilevanza di questo tipo di inquinamento derivano dalla economicità della plastica e dalla sua alta durabilità nel tempo e quindi alla produzione di grandissimi quantitativi della stessa per i più svariati usi.",7,13.239710654545453,14.395718000000002,72.36457187272728,12.544294660903791,13.1414697268402,9.966290475099271,13.819799174275571,11.397302047320057,11.511916790718391,12.11842983584867,15.500497288994014
Cosa Ã¨ Ä¾isola di plastica,"Da cosa è composta l’isola di rifiuti del Pacifico .... Molti Stati si stanno muovendo per cercare di invertire la rotta: ultima in ordine di tempo è l’Unione Europea che ha proposto una normativa stringente sull’uso della plastica e sullo smaltimento dei rifiuti. Non sappiamo quando vedremo i risultati di queste nuove norme, ma una cosa è certa: la Great Pacific Garbage Patch ci dice che il ...",8,16.401173999999997,15.630302718181818,67.96852333333334,11.81862344515784,14.027694429948026,10.535409638644953,12.831458661165504,11.182529808185594,11.633468968248811,11.966964885854512,16.003850162794723
Cosa Ã¨ Ä¾isola di plastica,Che cos’è la Plastica? – Usa e Getta. - meridionews.it. Anche perché sono sicuro che le persone non laveranno questi oggetti usa e getta cosa necessaria (perché usarli allora?) ed il rischio è di abbassare di molto la qualità della plastica ...,9,16.40409492105263,18.060505115789475,65.53539993947369,11.685898555082359,12.555392839230453,10.448045822661712,13.780681724028826,10.889302589909526,12.236905045698649,11.482283557271979,16.921489866116467
Cosa Ã¨ Ä¾isola di plastica,"L'isola di plastica - SapereScienza. L’Isola di Plastica, che non e’ presente solo nell’Oceano Pacifico ma anche in Atlantico e probabilmente in Mediterraneo, non è solo un disastro ambientale incalcolabile ma è la metafora più precisa e terribile del fallimento del nostro modello di sviluppo.",10,15.744002977272729,19.595024486363634,64.66097211363636,11.401224774744238,13.68285487705882,10.730884842956105,13.810093858128559,11.768705248925253,12.32251408433263,12.361110063907423,13.922612249946942
Di cosa si occupa il WWF ?,"Di cosa si occupa il WWF? - Sapere.it Di cosa si occupa il WWF? - Sapere.it Di cosa si occupa il WWF? - Sapere.it Di cosa si occupa il WWF? - Sapere.it. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi. A tal proposito, ogni anno il WWF promuove oltre 2000 progetti in tutto mondo. L’organizzazione si occupa della tutela di mari, oceani, coste, foreste e animali soprattutto le specie in via di estinzione. In Italia il WWF, nato nel 1966, è presente su tutto il territorio nazionale con 200 sedi e con più di 100 Oasi.",1,14.75952942068965,10.998205506896552,74.2422654137931,12.131691357537244,12.542953916474579,10.662925790512235,13.06707751337017,12.526606876991723,12.202802022301174,11.77925787642578,15.086684646387068
Di cosa si occupa il WWF ?,"WWF - Wikipedia. Il World Wide Fund for Nature (in italiano: Fondo Mondiale per la Natura), spesso abbreviato in World Wildlife Fund (Fondo Mondiale per la Fauna) o con l'acronimo WWF, è un'organizzazione internazionale non governativa di protezione ambientale con sede nella città di Gland",2,14.813745659090907,14.263637022727274,70.92261727272728,11.793612854179566,13.581412507016424,10.239863237076708,13.326371266471817,11.545420100517779,11.342078295092103,12.43095741106768,15.74028432857789
Di cosa si occupa il WWF ?,"WWF | Sito Ufficiale. Stai cercando notizie o il sito ufficiale del WWF? Questo è il sito giusto! Infatti, qui potrai trovare tutte le informazioni che ti occorrono e puoi scoprire di cosa si occupa la famosa associazione benefica, come aderire o fare donazioni!",3,18.218804790697675,16.431727255813954,65.34946750232558,10.343266706682378,14.274147267944656,9.924184098529413,13.11445028387927,10.788801790091618,11.613857967228451,12.716107792375315,17.225184093268872
Di cosa si occupa il WWF ?,"mi potete dire in breve che cos'è e cosa fa il wwf .... Rispetto a ciascuno di questi temi, il WWF si prefigge degli obiettivi misurabili e gestisce con oltre 2000 progetti di conservazione all'anno in tutto il mondo. I progetti hanno ormai la peculiarità di coinvolgere le popolazioni locali, in quanto - sostiene il WWF - senza il scemi fin troppo la tutela dell'ambiente risulterebbe impossibile.",4,13.331861928571426,13.715873992063491,72.95226403174603,11.080587009210385,13.331414727317886,11.330351661248764,12.832557627562377,11.432821055862375,12.647524077503439,11.863995951440206,15.480747889854538
Di cosa si occupa il WWF ?,cos'è il WWF? Ci sono altre organizzazioni ke si occupano .... il wwf-di cui io sn socia- è una fondazione ke si occupa di salvaguardare gli animali e il loro habitat e accetta solo fondi privati quindi nn è sottomessa ad 1 governo ed è internazionale. altri enti sn: LAV-lega antivivisezione ke si occupa su territorio italiano di difendere gli animali,5,16.766825383333334,17.86401193333334,65.3691629,12.004316155614097,12.230387841135181,12.262137430235038,13.22313350507686,11.772644209674393,12.488099157909339,10.93802040367231,15.081261296682754
Di cosa si occupa il WWF ?,"Di cosa si occupa il WWF? - youngworldforum.forumfree.it. Il WWF (World Widelife Fund) è la più grande organizzazione per la conservazione della natura, fondata nel 1961 in Svizzera. Il WWF è presente in tutto il mondo con 24 organizzazioni nazionali.",6,15.179487722222223,9.6191605,75.20135183333333,11.810330830018229,11.948167073239501,11.560797730181323,13.30726703256274,12.048825167466875,11.545166749095651,10.65598021807624,17.12346519935942
Di cosa si occupa il WWF ?,"Per la difesa dell'ambiente e delle specie a rischio | WWF .... Il WWF è la più grande organizzazione mondiale per la conservazione di natura, habitat e specie in pericolo. Scopri come aiutarci a fare la differenza!",7,18.244105714285716,11.216092571428572,70.5398014,12.196246689220409,12.506934350486256,10.541280344297377,14.618190508405233,11.290737450848676,10.845681418510859,11.27010418297874,16.730825055252424
