query,resp,rank,IAS,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Chi era il padre di Micerino ?,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",1,Bing,30.08,27.79,42.14,13.05,12.82,13.4,10.77,12.51,11.66,13.03,12.77
Chi era il padre di Micerino ?,"LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. Dalla sposa Khamerer-Nebty II nacque Khuenra il quale però non successe al padre pur essendone l’erede più anziano, l’onore spettò al principe Shepseskaf, un figlio minore del faraone.",2,Bing,33.23,31.46,35.31,12.57,13.08,11.3,11.76,13.26,12.44,13.69,11.91
Chi era il padre di Micerino ?,"Chi erano Chefren e Micerino? - in3giorni.com. Nel 1908 George Reisner ritrovò otto triadi che rappresentavano il faraone Micerino, la dea Hathor e varie province dell'Egitto. Richiesta di rimozione della fonte isualizza la risposta completa su storicang.it",3,Bing,29.5,22.54,47.96,11.55,12.65,12.21,10.18,12.46,10.54,15.66,14.75
Chi era il padre di Micerino ?,"La piramide di Micerino: l’ultima delle tre piramidi - Viaggio in Egitto. Il primo a penetrare all’interno della piramide di Micerino fu il sultano Uthman Ibn Yusuf, figlio del Saladino, che aprì con le sue truppe la breccia ancora oggi visibile alla base della piramide, nel 1196. Il sultano sognava di trovare il famoso e ricchissimo tesoro del faraone Micerino.",4,Bing,31.1,23.7,45.2,12.15,12.1,11.84,10.98,13.18,12.03,14.36,13.37
Chi era il padre di Micerino ?,"La Piramide di Micerino | L'ultima piramide di Giza - Pyramid of Giza. Il complesso piramidale di Micerino, completato intorno al 2510 a.C., fu l'ultimo costruito sull'Altopiano di Giza. Si tratta della tomba del faraone egiziano Micerino, appartenente alla IV dinastia, che successe al trono di suo padre Chefren.",5,Bing,26.93,29.98,43.09,12.56,12.89,12.02,11.35,13.08,11.99,12.59,13.53
Il figlio di Chefren,"Chefren - Wikipedia. Chefren (dal greco antico: Χεφρήν, Chephrèn; originariamente Khafra e Hor Userib) [5] (... – 2532 a.C.) è stato un faraone della IV dinastia egizia. È probabile che Chefren fosse figlio di Cheope e fratellastro quindi di Kheper.",1,Bing,32.68,32.56,34.76,12.45,12.99,11.9,12.11,13.02,12.24,13.47,11.82
Il figlio di Chefren,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",2,Bing,30.08,27.79,42.14,13.05,12.82,13.4,10.77,12.51,11.66,13.03,12.77
Il figlio di Chefren,"Scopri la Piramide di Chefren: Un Tesoro dell'Antico Egitto. Chefren, noto anche come Khafra, era un faraone della Quarta Dinastia egizia, vissuto intorno al 2600-2480 a.C. Era il figlio di Cheope e padre di Micerino. Durante il suo regno, costruì una delle piramidi a Giza e si ritiene sia stato il committente della Grande Sfinge.",3,Bing,34.63,23.65,41.72,13.16,13.14,11.87,11.61,12.41,12.12,13.75,11.93
Il figlio di Chefren,"Chefren - Italiawiki.com. Chefren è il figlio di Chufu (Cheope), che ha costruito la più grande delle tre piramidi di Giza. Il figlio di Khafre, Menkaura (Mykerinos), ha costruito la terza delle tre piramidi. Lavori di costruzione",4,Bing,25.25,18.77,55.98,12.47,14.19,11.44,10.48,12.65,12.65,14.78,11.34
Il figlio di Chefren,"Faraone Chefren in trono, Museo Egizio del Cairo. Il faraone Chefren, figlio di Cheope e padre di Micerino, regnò durante la IV dinastia egizia. La statua del faraone Chefren seduto in trono si trova al Museo egizio del Cairo. Fu realizzata con la diorite, una pietra molto dura, secondo la tecnica della «scultura a togliere»; è alta 168 cm.",5,Bing,29.28,25.15,45.57,13.56,13.09,13.12,11.4,12.12,12.01,12.48,12.21
Il padre di Micerino,"Micerino - Wikipedia. Micerino è figlio del faraone Chefren ed è nipote di Cheope. Un coltello di selce rinvenuto nel tempio funerario di Micerino menziona Khamerernebti I con il titolo di Madre del Re (nello specifico, di Micerino): tale ritrovamento ha suggerito che Chefren e la sua regina fossero genitori di Micerino. Sono note due mogli di Micerino:",1,Bing,30.08,27.79,42.14,13.05,12.82,13.4,10.77,12.51,11.66,13.03,12.77
Il padre di Micerino,"LA PIRAMIDE DI MICERINO - LA CIVILTA' EGIZIA. Come già accennato nella prima parte, forse Micerino non visse sufficientemente a lungo per vedere completata la sua piramide lasciando il compito di completarla, apparentemente in fretta, al suo successore, il figlio Shepseskaf, la deduzione è stata tratta dall’esame del materiale usato in alcune parti del complesso che consiste di mattoni ...",2,Bing,30.19,34.31,35.5,11.45,12.49,11.76,10.99,13.1,11.61,14.89,13.71
Il padre di Micerino,Chi erano Chefren e Micerino? - in3giorni.com. Nome di un faraone della 4 a dinastia (circa 2600-2480 a. C.); figlio di Cheope e padre di Micerino; costruì una piramide a Giza. Al suo tempo risale la grande sfinge della necropoli menfitica.,3,Bing,29.13,24.86,46.0,12.97,13.54,12.14,10.85,12.08,12.44,13.72,12.27
Il padre di Micerino,"La piramide di Micerino: l’ultima delle tre piramidi - Viaggio in Egitto. Il primo a penetrare all’interno della piramide di Micerino fu il sultano Uthman Ibn Yusuf, figlio del Saladino, che aprì con le sue truppe la breccia ancora oggi visibile alla base della piramide, nel 1196.",4,Bing,28.07,23.5,48.43,12.03,12.44,11.8,10.65,13.27,11.83,14.21,13.78
Il padre di Micerino,"Piramide di Micerino, Guida alla Visita - Egitto 2025 | Arché Travel. La Piramide di Micerino si trova all’interno della Necropoli di Giza, a 25 km dalla capitale Il Cairo, in Egitto. Questa monumentale scultura funeraria è collocata nella parte sud della piana, accanto alla Piramide di Chefren che, secondo gli storici, era suo padre.",5,Bing,28.37,21.68,49.95,12.64,12.39,13.42,10.0,12.68,11.33,14.3,13.24
Micerino,"Micerino - Wikipedia. Micerino, noto anche come Menkaura o Menkheres, fu il successore di Chefren e il padre di Shepseskaf. La sua piramide a Giza e le sue statue lo rappresentano con le divinità Hathor e Anput.",1,Bing,30.78,23.37,45.85,11.8,12.93,11.36,11.94,12.64,11.13,14.63,13.56
Micerino,"Piramide di Micerino - Wikipedia. La Piramide di Micerino o Menkaura, eretta nell'ultima area libera dell’altopiano roccioso di Giza, era il cenotafio del sovrano denominato Neter Menkaura ossia «Divino [è] Micerino».",2,Bing,28.88,25.19,45.93,12.25,12.01,11.78,11.82,13.12,10.7,13.88,14.44
Micerino,"Micerino su Enciclopedia - Sapere.it. Micerino fu il figlio e successore di Chefren e regnò intorno al 2560 a. C. Costruì la terza piramide di El Gîza, ma non la completò. Scopri le sue statue e il suo quiz.",3,Bing,25.54,26.24,48.22,12.59,13.57,12.14,12.28,12.41,11.31,12.26,13.45
Micerino,"Micerino e la moglie Khamerer-Nebti - Wikipedia. Micerino e la moglie Khamerer-Nebti è un gruppo scultoreo di autore ignoto, realizzato nel 2520 a.C. circa e conservato presso il Museum of Fine Arts di Boston.",4,Bing,24.81,18.16,57.03,12.52,13.75,13.13,9.37,12.24,12.0,14.52,12.48
Micerino,"LE TRIADI DI MICERINO - LA CIVILTA' EGIZIA. Scopri le sculture di corte del re Micerino, che lo rappresentano con la dea Hathor e altre figure femminili simbolo dei distretti egiziani. Leggi le caratteristiche, le dimensioni e le iscrizioni di questi gruppi statuari in scisto grigio-verde.",5,Bing,29.65,22.06,48.29,13.44,12.14,9.48,13.39,13.61,13.23,14.9,9.81
Quanto e alta la tomba di Cheope?,"Piramide di Cheope - Wikipedia. La Piramide di Cheope è la più antica e più grande delle tre piramidi principali della necropoli di Giza. È la più antica delle sette meraviglie del mondo antico nonché l'unica arrivata ai giorni nostri. È costituita da almeno 2 300 000 blocchi, ciascuno mediamente del peso di circa 2,5 tonnellate e, secondo gli egittologi, fu edificata ...",1,Bing,33.0,22.34,44.65,11.87,12.16,11.67,11.08,13.24,12.33,14.89,12.77
Quanto e alta la tomba di Cheope?,"Quanto era alta la piramide più grande quando fu costruita?. Quando fu costruita, la piramide di Cheope era alta circa 146,6 metri (280 cubiti egiziani) ed era pertanto la costruzione più alta realizzata fino ad allora. ... La base della piramide copre oltre 5 ettari di superficie, formando un quadrato di circa 230,34 metri per lato.",2,Bing,31.64,22.39,45.97,11.87,12.22,12.03,10.81,12.93,11.08,14.78,14.27
Quanto e alta la tomba di Cheope?,"La Piramide di Khufu | La Grande Piramide di Giza - Pyramid of Giza. La Grande Piramide di Giza fu la prima ad essere costruita sull'altopiano di Giza e fu la tomba per l'antico faraone egiziano Cheope per un periodo di circa 27 anni. Si ritiene che l’architetto fosse Hemiunu, cugino e visir di Cheope.",3,Bing,33.7,21.6,44.7,12.55,13.1,12.03,11.08,12.82,11.8,13.56,13.07
Quanto e alta la tomba di Cheope?,"Le misure della Piramide di Cheope - Dino Molli. Tra gli specialisti in archeologia egizia, è opinione comune che fu costruita come tomba per il faraone della IV Dinastia (2575 - 2467 a.C.) Khufu (conosciuto come Cheope).",4,Bing,31.73,20.1,48.17,11.89,13.31,11.05,12.28,12.48,11.98,14.14,12.86
Quanto e alta la tomba di Cheope?,"Piramide di Cheope, storia, struttura, altezza e leggende. Gli egittologi ritengono che la piramide sia stata costruita come tomba per il faraone Khufu (Cheope in Greco), IV dinastia, per un periodo dai 10 ai 20 anni, concludendosi attorno al 2560 a.C. Secondo alcuni fu realizzata dall’architetto reale Hemiunu.",5,Bing,27.88,24.0,48.12,12.1,12.41,12.57,10.32,12.32,11.92,14.65,13.71
