query,OG_sentiment_JSD,OG_emotion_JSD,RQ_male_sentiment_JSD,RQ_male_emotion_JSD,RQ_female_sentiment_JSD,RQ_female_emotion_JSD,RQ_neutral_sentiment_JSD,RQ_neutral_emotion_JSD
Chi era il padre di Micerino ?,0.027130367863121563,0.009830073680737286,0.05220148534461592,0.008604802210461187,0.03382292646123413,0.01139879766587145,0.012640815369450826,0.007572781486218381
Il figlio di Chefren,0.045424602074110594,0.011357027280034756,0.051979239491904604,0.007410721191134694,0.016719891976689473,0.01139879766587145,0.042066351365010905,0.007183609011225162
Il padre di Micerino,0.08112511436962051,0.004905143732649543,0.02190202065682985,0.005071501470585147,0.016719891976689473,0.01139879766587145,0.027512928125266057,0.009137082861562
Micerino,0.03499777603309576,0.009488342090015993,0.059501743505258345,0.0053865702239132875,0.016719891976689473,0.01139879766587145,0.05384195613860302,0.011831349690211362
Quanto e alta la tomba di Cheope?,0.042677455364759205,0.004562395994576804,0.06702785080769562,0.013044039842803369,0.044064540816018814,0.003402078538695842,0.02129843651134543,0.009759320555709132
Si e scoperto il padre di Micerino?,0.09089205617469329,0.008729148837966397,0.01728743304610691,0.003408868562910409,0.016719891976689473,0.01139879766587145,0.03150622617008565,0.005975945099833645
quali sono le regole principali della pallavolo,0.024354525775878294,0.008689133744084367,0.014646440298709717,0.0067377557588943855,0.02329171132499448,0.007999072385525944,0.06076431084990511,0.012149779833810676
quanti leopardi delle nevi sono rimasti,0.057991736140239294,0.014290392173585006,0.09728174545169395,0.007293177014232399,0.06951329948555639,0.00858796823544134,0.022659828124654793,0.0037437975551358623
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,0.07371956521468621,0.00736787461488942,0.022355994099882554,0.0034145832389529374,0.01787044612654441,0.004687761206670558,0.02233320558196673,0.0017917795661669719
Come si costruivano le piramidi Egizie?,0.059207269141998545,0.005301527459260286,0.05552874032195941,0.003474090845588812,0.0063521165474310515,0.0043832892164094184,0.11378502840899646,0.010212286729514264
Dove si trova la piramide di Cheope?,0.01385206982627769,0.005821298575578007,0.027685923226841828,0.007196389910868217,0.03809092725132138,0.011387287656411194,0.018749500789116944,0.009123693910318363
FANTASMA DELLE MONTAGNE,0.059046729793836225,0.007949121607717638,0.041067648614517074,0.004832824897933227,0.043756724745071016,0.006431759535386069,0.02377244693901278,0.0048525335927497035
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,0.08242612201561483,0.011484342159103895,0.014028640623129312,0.0068766653448408405,0.016719891976689473,0.01139879766587145,0.021834845798765424,0.0072089420705778815
Quale e la piramide egizia piu` alta ?,0.03347974868356136,0.007086453501256416,0.05330508150828559,0.009471165287603377,0.060197490787821314,0.009867281631468572,0.07118852523426748,0.008905552404674867
Quanto era alta la tomba del padre di Micerino?,0.02353421414001124,0.011336515159483942,0.04709495216859,0.009749909701258063,0.038978767773870195,0.00730064935025876,0.020896564790366064,0.005690507752476442
quanto ̬ alta la tomba del padre di micerino,0.08544983428460895,0.007051709416346138,0.034887946495560054,0.008604802210461187,0.05950031187685998,0.006677717097640813,0.046069182665586135,0.00509138148128437
