query,prompt type,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Chi era il padre di Micerino ?,General,25.31,30.15,44.54,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
Il figlio di Chefren,General,26.92,32.38,40.7,13.04,16.93,11.75,10.41,12.07,13.54,12.8,9.47
Il padre di Micerino,General,25.31,30.15,44.54,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
Micerino,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quanto e alta la tomba di Cheope?,General,28.06,31.37,40.57,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
Si e scoperto il padre di Micerino?,General,25.03,23.79,51.18,12.61,15.95,13.27,8.81,10.8,13.9,15.2,9.45
quali sono le regole principali della pallavolo,General,20.67,27.45,51.87,19.15,10.58,17.98,10.06,9.94,9.67,8.31,14.32
quanti leopardi delle nevi sono rimasti,General,18.6,47.35,34.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,General,31.67,26.37,41.96,12.24,13.24,12.32,10.58,14.5,11.05,13.53,12.53
Come si costruivano le piramidi Egizie?,General,19.45,14.04,66.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dove si trova la piramide di Cheope?,General,32.5,30.06,37.44,11.44,12.85,12.38,11.67,13.31,10.24,12.89,15.23
FANTASMA DELLE MONTAGNE,General,20.9,17.76,61.33,10.04,11.8,13.68,10.49,14.6,11.8,13.29,14.31
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,General,30.79,13.9,55.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quale e la piramide egizia piu` alta ?,General,30.97,26.31,42.72,11.77,12.1,11.63,12.28,13.14,12.49,12.21,14.39
Quanto era alta la tomba del padre di Micerino?,General,27.14,30.97,41.89,12.69,15.25,13.31,9.92,11.29,13.79,13.17,10.57
quanto ̬ alta la tomba del padre di micerino,General,27.14,30.97,41.89,12.69,15.25,13.31,9.92,11.29,13.79,13.17,10.57
quanto ̬ alta la tomba del padre micerino,General,27.14,30.97,41.89,12.69,15.25,13.31,9.92,11.29,13.79,13.17,10.57
quanto ̬ alta la tomba di Chefren,General,28.06,31.37,40.57,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
quanto ̬ alta la tomba di micerino,General,28.06,31.37,40.57,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
quanto ̩l alta la tomba di micerino,General,28.06,31.37,40.57,12.77,14.55,13.36,11.04,11.77,13.69,11.13,11.69
regioni ital̩8iane con piu` squadre di pallavolo,General,25.65,21.04,53.31,14.15,11.13,14.0,11.96,13.23,12.43,11.79,11.32
tre animali a rischio di estinzione,General,21.37,21.06,57.57,11.92,12.49,10.51,12.35,15.3,12.93,12.63,11.86
tre animali a rischio estinzione,General,20.22,24.08,55.7,11.56,12.96,10.47,11.85,15.71,13.7,12.87,10.89
tre animali in via di estinzione,General,17.12,17.34,65.54,12.93,13.34,11.57,12.11,13.39,13.53,11.87,11.26
trova 3 animali a rischio di estinzione,General,26.43,25.9,47.67,11.92,12.49,10.51,12.35,15.3,12.93,12.63,11.86
un bambino sano quanto pasti fa al giorno,General,34.51,32.93,32.57,13.93,13.69,13.18,7.89,13.05,13.35,12.22,12.67
un fantasma delle montagne foto,General,17.47,26.29,56.24,10.04,11.8,13.68,10.49,14.6,11.8,13.29,14.31
vulcano attivo piu atlantico,General,35.68,17.78,46.54,11.06,11.05,11.59,12.27,14.85,13.36,13.03,12.8
wwf in via di estinzione,General,16.41,13.99,69.61,12.68,12.83,12.88,9.86,13.5,11.66,13.7,12.88
zigurat,General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i vantaggi della dieta mediterranea,General,30.61,18.46,50.93,12.01,15.23,12.01,9.12,12.3,12.09,15.5,11.75
il leopardo delle nevi e invertebrato o vertebrato,General,17.27,39.51,43.22,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
chi era san giuseppe,General,26.77,15.72,57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come e nata la festa del papa,General,18.88,17.22,63.89,15.8,13.46,14.17,8.38,10.43,12.41,13.83,11.51
come possiamo aiutare gli animali in estinzione,General,24.27,34.2,41.52,11.26,11.95,9.81,13.08,13.42,15.68,13.09,11.7
come si formano i vulcani,General,36.49,18.5,45.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
come si localizza un punto su una mappa,General,24.09,25.35,50.56,10.5,10.44,13.38,8.72,12.93,11.27,16.14,16.62
come si sviluppa un tornado,General,33.07,26.29,40.64,11.83,12.1,12.59,10.3,17.1,10.95,9.32,15.81
come si sviluppa un tornado e i suoi effetti,General,38.93,25.11,35.96,11.83,12.1,12.59,10.3,17.1,10.95,9.32,15.81
come si trova un punto su una mappa,General,32.9,25.6,41.51,10.5,10.44,13.38,8.72,12.93,11.27,16.14,16.62
come viene classificato il leopardo delle nevi,General,19.06,43.47,37.48,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
