Query,OG_male_rougeL,OG_male_rougeLsum,OG_female_rougeL,OG_female_rougeLsum,female_male_rougeL,female_male_rougeLsum
Chi era il padre di Micerino ?,1.0,1.0,0.3636363744735718,0.3636363744735718,0.3636363744735718,0.3636363744735718
Il figlio di Chefren,0.03921568766236305,0.03921568766236305,0.3870967626571655,0.3870967626571655,0.033898305147886276,0.033898305147886276
Il padre di Micerino,0.21686747670173645,0.21686747670173645,0.47058823704719543,0.47058823704719543,0.10256410390138626,0.10256410390138626
Micerino,0.39603960514068604,0.39603960514068604,0.06451612710952759,0.06451612710952759,0.022727273404598236,0.04545454680919647
Quanto e alta la tomba di Cheope?,0.5490196347236633,0.5490196347236633,0.7179487347602844,0.7179487347602844,0.6153846383094788,0.6153846383094788
Si e scoperto il padre di Micerino?,0.2830188572406769,0.3207547068595886,0.18018017709255219,0.23423422873020172,0.4521739184856415,0.539130449295044
quali sono le regole principali della pallavolo,0.3453815281391144,0.5140562057495117,0.27149322628974915,0.4072398245334625,0.26213592290878296,0.40776699781417847
quanti leopardi delle nevi sono rimasti,0.375,0.375,0.3571428656578064,0.4285714328289032,0.17391304671764374,0.17391304671764374
CHE VELOCITA PUO RAGGIUNGERE UN TORNADO FENOMENO NATURALE,0.4285714328289032,0.48571428656578064,0.5714285969734192,0.5714285969734192,0.3636363744735718,0.3896103799343109
Come si costruivano le piramidi Egizie?,0.5423728823661804,0.5593220591545105,0.35185185074806213,0.3888888955116272,0.3382352888584137,0.4117647111415863
Dove si trova la piramide di Cheope?,0.5161290168762207,0.5806451439857483,0.41025641560554504,0.4615384638309479,0.8399999737739563,0.8399999737739563
FANTASMA DELLE MONTAGNE,0.7368420958518982,0.7368420958518982,0.11320754885673523,0.11320754885673523,0.19230769574642181,0.19230769574642181
QUALI SONO GLI ALTRI NOMI DI UN TORTANADO,0.28070175647735596,0.28070175647735596,0.3636363744735718,0.3636363744735718,0.6399999856948853,0.6399999856948853
Quale e la piramide egizia piu` alta ?,0.3571428656578064,0.3571428656578064,0.25641027092933655,0.25641027092933655,0.6222222447395325,0.6222222447395325
Quanto era alta la tomba del padre di Micerino?,0.5555555820465088,0.5555555820465088,0.36734694242477417,0.36734694242477417,0.380952388048172,0.380952388048172
quanto ̬ alta la tomba del padre di micerino,0.22580644488334656,0.29032257199287415,0.28070175647735596,0.28070175647735596,0.2222222238779068,0.2222222238779068
quanto ̬ alta la tomba del padre micerino,0.0,0.0,0.375,0.4375,0.0,0.0
quanto ̬ alta la tomba di Chefren,0.4000000059604645,0.4000000059604645,0.3333333432674408,0.3333333432674408,0.7272727489471436,0.7272727489471436
quanto ̬ alta la tomba di micerino,0.37837839126586914,0.37837839126586914,0.0,0.0,0.0,0.0
quanto ̩l alta la tomba di micerino,0.05128205195069313,0.05128205195069313,0.1090909093618393,0.1090909093618393,0.3333333432674408,0.3589743673801422
regioni ital̩8iane con piu` squadre di pallavolo,0.0,0.0,0.34285715222358704,0.34285715222358704,0.0,0.0
tre animali a rischio di estinzione,0.12765957415103912,0.1702127605676651,0.09302325546741486,0.13953489065170288,0.5454545617103577,0.5454545617103577
tre animali a rischio estinzione,0.08510638028383255,0.12765957415103912,0.11999999731779099,0.11999999731779099,0.4675324559211731,0.4675324559211731
tre animali in via di estinzione,0.43478259444236755,0.6086956262588501,0.1599999964237213,0.20000000298023224,0.18867924809455872,0.22641509771347046
trova 3 animali a rischio di estinzione,0.30434781312942505,0.3478260934352875,0.18867924809455872,0.18867924809455872,0.3896103799343109,0.44155845046043396
un bambino sano quanto pasti fa al giorno,0.517241358757019,0.5344827771186829,0.4423076808452606,0.48076921701431274,0.3962264060974121,0.4528301954269409
un fantasma delle montagne foto,0.2857142984867096,0.2857142984867096,0.190476194024086,0.190476194024086,0.550000011920929,0.6000000238418579
vulcano attivo piu atlantico,0.25531914830207825,0.25531914830207825,0.10526315867900848,0.10526315867900848,0.0,0.0
wwf in via di estinzione,0.14000000059604645,0.18000000715255737,0.13223139941692352,0.19834710657596588,0.251655638217926,0.29139071702957153
zigurat,0.27397260069847107,0.30136987566947937,0.2857142984867096,0.3214285671710968,0.30136987566947937,0.3287671208381653
i vantaggi della dieta mediterranea,0.2641509473323822,0.44025155901908875,0.36800000071525574,0.3840000033378601,0.24637681245803833,0.3478260934352875
il leopardo delle nevi e invertebrato o vertebrato,0.46666666865348816,0.46666666865348816,0.46666666865348816,0.46666666865348816,0.6086956262588501,0.6086956262588501
chi era san giuseppe,0.38461539149284363,0.5384615659713745,0.39436620473861694,0.4507042169570923,0.37681159377098083,0.49275362491607666
come e nata la festa del papa,0.3235294222831726,0.3382352888584137,0.30909091234207153,0.4363636374473572,0.39240506291389465,0.4556961953639984
come possiamo aiutare gli animali in estinzione,0.29885056614875793,0.29885056614875793,0.39080458879470825,0.36781609058380127,0.2830188572406769,0.3207547068595886
come si formano i vulcani,0.37142857909202576,0.4571428596973419,0.3484848439693451,0.469696968793869,0.4285714328289032,0.4920634925365448
